userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.53291,Far,-28.057,44.482,-5.3419,0.02,0,58.34036,-34.57804,44.16644,-16.04005,-35.16,43.152,-14.71,-35.16,43.152,-14.71,330.7477,102.4513,2.055066,-29.252,102.451,2.055,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24889,Far,-28.057,44.482,-5.3419,0.4606411,0.3328304,58.6982,-34.5614,44.14586,-15.71567,-34.50294,43.75697,-15.82045,-34.57041,43.76525,-15.83227,339.5401,103.0132,1.081554,-20.46,103.013,1.082,345.4451,205.5016,343.9481,-14.555,-154.498,-16.052,345.5526,210.215,340.134,-14.447,-149.785,-19.866,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24922,Far,-28.057,44.482,-5.3419,0.7600253,0.3328304,58.69992,-34.56099,44.14493,-15.71629,-34.50285,43.75711,-15.81996,-34.56942,43.7656,-15.83149,339.709,102.9301,0.9515184,-20.291,102.93,0.952,345.4345,205.5049,343.9377,-14.565,-154.495,-16.062,345.5474,210.2056,340.1255,-14.453,-149.794,-19.874,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24944,Far,-28.057,44.482,-5.3419,0.8966608,0.3328304,58.70058,-34.56107,44.14497,-15.71649,-34.50241,43.75702,-15.82006,-34.56933,43.76546,-15.83168,339.7056,102.9545,0.9353582,-20.294,102.954,0.9350001,345.4402,205.5009,343.9383,-14.56,-154.499,-16.062,345.5442,210.2012,340.1189,-14.456,-149.799,-19.881,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24957,Far,-28.057,44.482,-5.3419,1.024614,0.3328304,58.70121,-34.56128,44.14512,-15.71653,-34.50285,43.75701,-15.82022,-34.5702,43.76517,-15.83213,339.6766,102.9781,0.9648843,-20.323,102.978,0.965,345.4419,205.4996,343.9343,-14.558,-154.5,-16.066,345.5498,210.1971,340.0959,-14.45,-149.803,-19.904,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24955,Far,-28.057,44.482,-5.3419,1.162062,0.3328304,58.70204,-34.56101,44.14503,-15.71667,-34.50299,43.75679,-15.82033,-34.56947,43.7655,-15.83151,339.6925,102.9586,0.9243222,-20.308,102.959,0.924,345.443,205.5021,343.9429,-14.557,-154.498,-16.057,345.5478,210.1875,340.1026,-14.452,-149.812,-19.897,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24938,Far,-28.057,44.482,-5.3419,1.35562,0.3328304,58.70319,-34.56144,44.14548,-15.71622,-34.50365,43.75665,-15.82086,-34.56964,43.76564,-15.83161,339.5586,102.9116,0.9497628,-20.441,102.912,0.95,345.4512,205.4982,343.9441,-14.549,-154.502,-16.056,345.5575,210.1822,340.1019,-14.443,-149.818,-19.898,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24963,Far,-28.057,44.482,-5.3419,1.481014,0.3328304,58.70397,-34.56168,44.14542,-15.71636,-34.50361,43.7566,-15.82071,-34.56857,43.76626,-15.83077,339.5125,102.8601,0.9986609,-20.488,102.86,0.9990001,345.4461,205.5047,343.9415,-14.554,-154.495,-16.059,345.5479,210.1748,340.0946,-14.452,-149.825,-19.905,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24852,Far,-28.057,44.482,-5.3419,1.636266,0.3328304,58.7101,-34.56262,44.1511,-15.71463,-34.50324,43.75637,-15.82077,-34.56757,43.76622,-15.83043,336.3039,102.3237,0.9082713,-23.696,102.324,0.9080001,345.4472,205.4984,343.9562,-14.553,-154.502,-16.044,345.5264,210.1678,340.115,-14.474,-149.832,-19.885,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24783,Far,-28.057,44.482,-5.3419,1.804729,0.3328342,58.72094,-34.56829,44.15775,-15.71047,-34.50385,43.75644,-15.82078,-34.56815,43.76632,-15.83049,333.1559,100.8862,0.7174086,-26.844,100.886,0.717,345.4496,205.5029,343.9399,-14.55,-154.497,-16.06,345.5378,210.1556,340.0921,-14.462,-149.844,-19.908,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24784,Far,-28.057,44.482,-5.3419,1.963691,0.3328342,58.72323,-34.56818,44.15606,-15.7105,-34.50367,43.7562,-15.82102,-34.56726,43.76628,-15.83021,333.9234,101.0039,0.7682858,-26.077,101.004,0.768,345.4521,205.5085,343.9475,-14.548,-154.492,-16.053,345.5329,210.1545,340.1107,-14.467,-149.845,-19.889,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24708,Far,-28.057,44.482,-5.3419,2.09479,0.3328342,58.72447,-34.56769,44.15628,-15.70992,-34.50387,43.75631,-15.82118,-34.56746,43.76641,-15.83031,334.0916,100.9906,0.9364978,-25.908,100.991,0.936,345.4543,205.5046,343.9441,-14.546,-154.495,-16.056,345.5486,210.1492,340.103,-14.451,-149.851,-19.897,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24669,Far,-28.057,44.482,-5.3419,2.239926,0.3328342,58.72605,-34.56763,44.15649,-15.7095,-34.50385,43.75634,-15.82121,-34.56698,43.76688,-15.82993,334.0034,100.8536,1.274971,-25.997,100.854,1.275,345.4525,205.5078,343.9462,-14.548,-154.492,-16.054,345.5554,210.1445,340.0996,-14.445,-149.855,-19.9,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24642,Far,-28.057,44.482,-5.3419,2.372633,0.3328342,58.72715,-34.56792,44.15615,-15.70899,-34.50386,43.7565,-15.82067,-34.56655,43.76707,-15.82931,334.1568,100.7778,1.164078,-25.843,100.778,1.164,345.4411,205.509,343.9247,-14.559,-154.491,-16.075,345.5465,210.1417,340.0854,-14.454,-149.858,-19.915,-35.16,43.14921,-14.37996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24717,Far,-28.057,44.482,-5.3419,2.500488,0.3328342,58.72864,-34.56877,44.1568,-15.70937,-34.50383,43.75636,-15.82092,-34.56631,43.76714,-15.82921,334.1021,100.9828,1.291542,-25.898,100.983,1.292,345.4536,205.5024,343.9395,-14.546,-154.498,-16.061,345.5481,210.1438,340.0914,-14.452,-149.856,-19.909,-35.16,43.14921,-14.37996,0,0,0,0,0,0
