userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.25281,Far,-28.661,44.641,-5.3419,0.02,0,-34.65006,44.21142,-16.02262,-35.16,43.152,-14.71,-35.16,43.152,-14.71,318.9568,108.5074,1.4239,-41.043,108.507,1.424,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.94251,Far,-28.661,44.641,-5.3419,0.48639,0.4091915,-34.56225,44.17859,-15.71422,-34.53421,43.75485,-15.83809,-34.6225,43.73417,-15.96044,328.0763,101.794,357.9472,-31.924,101.794,-2.053,345.7366,225.3557,358.852,-14.263,-134.644,-1.148,346.8106,44.86282,4.821126,-13.189,44.863,4.821,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95305,Far,-28.661,44.641,-5.3419,0.8127723,0.4314649,-34.55224,44.16995,-15.73164,-34.53419,43.75492,-15.83778,-34.62213,43.7346,-15.9601,330.666,104.7019,357.6099,-29.334,104.702,-2.39,345.7469,225.3491,358.8557,-14.253,-134.651,-1.144,346.8138,44.85458,4.821202,-13.186,44.855,4.821,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95231,Far,-28.661,44.641,-5.3419,0.9701959,0.4329973,-34.55109,44.16937,-15.73143,-34.53438,43.75466,-15.838,-34.62191,43.73441,-15.95995,331.0876,104.8117,357.7655,-28.912,104.812,-2.235,345.7533,225.3415,358.8615,-14.247,-134.658,-1.139,346.8358,44.84939,4.813785,-13.164,44.849,4.814,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95255,Far,-28.661,44.641,-5.3419,1.110887,0.4334158,-34.55121,44.16932,-15.73163,-34.5348,43.75461,-15.83835,-34.62204,43.73448,-15.96035,331.1184,104.7882,357.7408,-28.882,104.788,-2.259,345.76,225.3488,358.8605,-14.24,-134.651,-1.139,346.8229,44.84873,4.815049,-13.177,44.849,4.815,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95281,Far,-28.661,44.641,-5.3419,1.243443,0.4340363,-34.55176,44.16924,-15.73161,-34.53487,43.75462,-15.83824,-34.62186,43.73463,-15.95987,331.0964,104.6815,357.8015,-28.904,104.682,-2.199,345.755,225.3465,358.8539,-14.245,-134.653,-1.146,346.8334,44.82378,4.833767,-13.167,44.824,4.834,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95305,Far,-28.661,44.641,-5.3419,1.383484,0.4347053,-34.55183,44.1693,-15.73185,-34.5346,43.75468,-15.83824,-34.62178,43.73454,-15.95991,331.0494,104.7389,357.7806,-28.951,104.739,-2.219,345.7455,225.3498,358.8534,-14.255,-134.65,-1.147,346.8323,44.82689,4.828475,-13.168,44.827,4.828,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95349,Far,-28.661,44.641,-5.3419,1.554471,0.4352963,-34.55232,44.16937,-15.73209,-34.53458,43.75482,-15.83806,-34.62185,43.73454,-15.95981,331.0487,104.6821,357.6881,-28.951,104.682,-2.312,345.7431,225.3485,358.8535,-14.257,-134.652,-1.147,346.8306,44.8232,4.827267,-13.169,44.823,4.827,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95345,Far,-28.661,44.641,-5.3419,1.712851,0.4358941,-34.55255,44.16949,-15.73192,-34.5345,43.75476,-15.83797,-34.62164,43.73464,-15.95973,331.0101,104.7141,357.7061,-28.99,104.714,-2.294,345.7408,225.3574,358.8491,-14.259,-134.643,-1.151,346.8282,44.82486,4.828156,-13.172,44.825,4.828,-35.16,43.14921,-14.39738,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95304,Far,-28.661,44.641,-5.3419,1.856562,0.4368254,-34.55215,44.16922,-15.73166,-34.53438,43.75491,-15.83784,-34.62183,43.73462,-15.95982,331.0919,104.701,357.7655,-28.908,104.701,-2.235,345.7383,225.3479,358.8532,-14.262,-134.652,-1.147,346.8296,44.81953,4.841185,-13.17,44.82,4.841,-35.16,43.14921,-14.39738,0,0,0,0,0,0
