userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.68166,Far,-28.661,44.641,-5.3419,2.094707,1.043737,-34.87531,44.21383,-15.22426,-34.59985,43.91463,-15.20422,-35.16,43.14921,-14.19511,7.305276,73.64773,4.441479,7.305,73.648,4.441,327.5715,50.71495,16.70512,-32.429,50.715,16.705,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.67143,Far,-28.661,44.641,-5.3419,2.263704,1.043737,-34.90377,44.21832,-15.19438,-34.62346,43.86902,-15.13918,-35.16,43.14921,-14.19511,3.85287,60.4175,3.464253,3.853,60.417,3.464,334.5469,43.14674,7.422822,-25.453,43.147,7.423,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.67069,Far,-28.661,44.641,-5.3419,2.398501,1.043737,-34.92536,44.22044,-15.17988,-34.62501,43.81718,-15.08609,-35.16,43.14921,-14.19511,2.232487,54.59921,3.190465,2.232,54.599,3.19,353.2966,37.13928,359.4262,-6.703001,37.139,-0.574,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.66815,Far,-28.661,44.641,-5.3419,2.556078,1.043737,-34.93845,44.22929,-15.1689,-34.65762,43.80375,-15.02396,-35.16,43.14921,-14.19511,359.2628,50.46206,4.39209,-0.737,50.462,4.392,337.0177,44.08748,3.91277,-22.982,44.087,3.913,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.63491,Far,-28.661,44.641,-5.3419,2.730633,1.043737,-34.90661,44.23617,-15.15004,-34.67213,43.77311,-14.97834,-35.16,43.14921,-14.19511,357.8903,49.55422,3.406881,-2.11,49.554,3.407,341.6101,47.50859,357.9488,-18.39,47.509,-2.051,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.59679,Far,-28.661,44.641,-5.3419,2.867377,1.043737,-34.85238,44.23298,-15.13914,-34.65546,43.75854,-14.95564,-35.16,43.14921,-14.19511,358.3943,49.51596,1.820273,-1.606,49.516,1.82,341.7507,46.67466,357.0587,-18.249,46.675,-2.941,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.52509,Far,-28.661,44.641,-5.3419,3.043918,1.043737,-34.73376,44.22023,-15.12823,-34.59872,43.7469,-14.94214,-35.16,43.14921,-14.19511,356.2479,48.05107,0.4918946,-3.752,48.051,0.492,339.1522,51.73845,355.9497,-20.848,51.738,-4.05,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.46955,Far,-28.661,44.641,-5.3419,3.187782,1.043737,-34.64871,44.23965,-15.11619,-34.53423,43.74282,-14.92759,-35.16,43.14921,-14.19511,357.1853,46.14076,359.8131,-2.815,46.141,-0.187,340.6103,55.01508,354.7152,-19.39,55.015,-5.285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.43191,Far,-28.661,44.641,-5.3419,3.336211,1.043737,-34.59977,44.34871,-15.10582,-34.48712,43.80511,-14.91905,-35.16,43.14921,-14.19511,359.058,46.32675,359.0266,-0.942,46.327,-0.973,344.8499,59.77099,350.9497,-15.15,59.771,-9.05,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.42667,Far,-28.661,44.641,-5.3419,3.471392,1.043737,-34.60281,44.4739,-15.10079,-34.47482,43.91586,-14.91114,-35.16,43.14921,-14.19511,359.6928,47.56794,359.4669,-0.307,47.568,-0.5330001,345.4644,62.68361,351.2086,-14.536,62.684,-8.791,0,0,0,0,0,0
