userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_1234567890,Reflective,Main,1.832571,1.650655,-35.39318,44.65263,-16.01355,-35.21645,44.11858,-15.84578,-35.10204,44.13132,-16.05953,7.115357,16.86037,2.99896,7.115,16.86,2.999,346.0472,55.21682,0.9426911,-13.953,55.217,0.943,333.8442,59.63471,350.7228,-26.156,59.635,-9.277,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.006703,1.727893,-35.43497,44.64656,-15.94894,-35.27854,44.13752,-15.7547,-35.13129,44.13515,-15.96571,7.252697,11.93593,2.560553,7.253,11.936,2.561,342.417,47.10472,359.3347,-17.583,47.105,-0.665,332.4329,52.44967,351.4869,-27.567,52.45,-8.513,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.174552,1.833611,-35.48614,44.64221,-15.85661,-35.33327,44.14604,-15.66864,-35.1748,44.13173,-15.86338,8.630187,9.004337,3.352324,8.63,9.004001,3.352,340.4995,43.331,359.3952,-19.5,43.331,-0.605,333.1312,47.01041,352.8587,-26.869,47.01,-7.141,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.329466,1.937656,-35.52828,44.63562,-15.76172,-35.39417,44.13973,-15.5797,-35.21372,44.12361,-15.7679,10.46722,4.714219,2.645997,10.467,4.714,2.646,341.2122,36.66084,1.390723,-18.788,36.661,1.391,335.3438,43.78262,352.6881,-24.656,43.783,-7.312,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.465044,1.99265,-35.55214,44.63202,-15.71233,-35.45721,44.12058,-15.51637,-35.24731,44.12448,-15.68879,13.15927,2.759494,1.980109,13.159,2.759,1.98,344.211,29.93688,1.218299,-15.789,29.937,1.218,336.4407,38.24356,353.8062,-23.559,38.244,-6.194,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.603244,2.020988,-35.56481,44.63234,-15.68707,-35.54034,44.11649,-15.46706,-35.2799,44.13437,-15.62289,13.66703,1.926606,0.9188754,13.667,1.927,0.919,344.5004,17.27386,3.801292,-15.5,17.274,3.801,335.4178,30.77333,355.9816,-24.582,30.773,-4.018,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.731981,2.04104,-35.56866,44.62792,-15.66828,-35.63964,44.12579,-15.42938,-35.30401,44.13902,-15.57318,13.83488,1.857272,359.898,13.835,1.857,-0.102,342.0121,0.5751373,7.114635,-17.988,0.575,7.115,334.5299,24.28722,357.4761,-25.47,24.287,-2.524,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,2.892625,2.063575,-35.55986,44.62295,-15.64821,-35.77478,44.13997,-15.41518,-35.32293,44.13725,-15.51964,14.83417,2.516077,358.8585,14.834,2.516,-1.142,340.6888,337.2632,10.01386,-19.311,-22.737,10.014,333.9348,17.98688,358.2122,-26.065,17.987,-1.788,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,3.027449,2.087747,-35.55372,44.61834,-15.62532,-35.85683,44.15215,-15.42,-35.33377,44.13654,-15.48121,15.73453,2.642146,357.764,15.735,2.642,-2.236,339.3849,325.9681,8.472129,-20.615,-34.032,8.472,333.374,15.23375,357.76,-26.626,15.234,-2.24,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,3.177629,2.125865,-35.54952,44.60893,-15.58865,-35.90749,44.15536,-15.41952,-35.33902,44.13723,-15.44003,16.11578,2.085575,357.3343,16.116,2.086,-2.666,338.4862,318.0384,8.348888,-21.514,-41.962,8.349,331.9198,14.33482,356.2814,-28.08,14.335,-3.719,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,3.323934,2.172529,-35.54516,44.60444,-15.54245,-35.92411,44.14721,-15.39823,-35.33862,44.13625,-15.3906,15.58338,0.5881625,356.5953,15.583,0.588,-3.405,339.6347,314.1538,9.386664,-20.365,-45.846,9.387,330.6324,14.39742,354.3326,-29.368,14.397,-5.667,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,3.469219,2.244025,-35.54018,44.60704,-15.47121,-35.92443,44.1407,-15.34745,-35.33834,44.13678,-15.32673,14.47799,359.4547,355.208,14.478,-0.545,-4.792,341.648,313.2028,9.412127,-18.352,-46.797,9.412001,329.5642,14.38085,353.4793,-30.436,14.381,-6.521,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
