userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.69087,Far,-28.057,44.482,-5.3419,1.981327,4.53594,4.613308,-30.39943,44.3012,-15.77142,-31.08445,43.14922,-14.38173,-30.50513,43.86337,-15.8588,1.140171,122.9507,357.8196,1.14,122.951,-2.18,0,0,0,0,0,0,352.9446,120.774,9.294833,-7.055,120.774,9.295,-31.08445,43.14922,-14.38173,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.63351,Far,-28.057,44.482,-5.3419,2.123556,4.826187,4.905943,-30.10683,44.30474,-15.77446,-30.7942,43.14921,-14.38173,-30.21207,43.86425,-15.86283,0.7784334,122.8483,357.3559,0.7780001,122.848,-2.644,0,0,0,0,0,0,352.8134,121.7839,9.125837,-7.187,121.784,9.126,-30.7942,43.14921,-14.38173,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.586,Far,-28.057,44.482,-5.3419,2.256989,5.098715,5.177945,-29.83487,44.30674,-15.77607,-30.52168,43.14921,-14.38173,-29.93873,43.86511,-15.86615,359.0664,123.9604,357.6701,-0.934,123.96,-2.33,0,0,0,0,0,0,352.451,122.5927,8.902838,-7.549,122.593,8.903001,-30.52168,43.14921,-14.38173,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.54279,Far,-28.057,44.482,-5.3419,2.384804,5.375511,5.455129,-29.55774,44.30179,-15.77577,-30.24488,43.14921,-14.38173,-29.65927,43.8628,-15.8665,358.3232,123.4545,356.9825,-1.677,123.454,-3.018,0,0,0,0,0,0,352.3239,122.9414,9.272589,-7.676001,122.941,9.273001,-30.24488,43.14921,-14.38173,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.50553,Far,-28.057,44.482,-5.3419,2.51922,5.637913,5.719686,-29.29326,44.29692,-15.77279,-29.98248,43.14921,-14.38173,-29.39675,43.86005,-15.86644,357.9496,120.9159,355.8286,-2.05,120.916,-4.171,0,0,0,0,0,0,352.3291,123.2397,9.555464,-7.671,123.24,9.555,-29.98248,43.14921,-14.38173,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.47307,Far,-28.057,44.482,-5.3419,2.654738,5.953254,6.040336,-28.97272,44.29288,-15.77314,-29.66741,43.14921,-14.39137,-29.08458,43.85297,-15.87652,356.6517,116.0509,354.9239,-3.348,116.051,-5.076,0,0,0,0,0,0,353.0982,123.4755,9.7272,-6.902,123.476,9.727,-29.66741,43.14921,-14.39137,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.45658,Far,-28.057,44.482,-5.3419,2.78579,6.234082,6.325871,-28.68735,44.28604,-15.77762,-29.38676,43.14921,-14.39998,-28.80617,43.84673,-15.88448,357.5097,114.2238,354.7754,-2.49,114.224,-5.225,0,0,0,0,0,0,353.9079,123.4054,9.727621,-6.092,123.405,9.728001,-29.38676,43.14921,-14.39998,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.44396,Far,-28.057,44.482,-5.3419,2.922157,6.532912,6.627837,-28.38543,44.28078,-15.77875,-29.08793,43.14921,-14.4017,-28.50867,43.84452,-15.88523,358.1967,113.5212,355.011,-1.803,113.521,-4.989,0,0,0,0,0,0,354.0879,122.9124,9.595587,-5.912,122.912,9.596001,-29.08793,43.14921,-14.4017,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43936,Far,-28.057,44.482,-5.3419,3.057663,6.815687,6.911914,-28.10135,44.28043,-15.77922,-28.80516,43.14921,-14.40206,-28.22699,43.84649,-15.88498,358.2021,113.3437,355.2207,-1.798,113.344,-4.779,0,0,0,0,0,0,352.8205,122.7274,6.720553,-7.18,122.727,6.721,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43917,Far,-28.057,44.482,-5.3419,3.198226,6.815691,6.913646,-28.10119,44.28202,-15.77906,-28.80516,43.14921,-14.40206,-28.22455,43.84591,-15.88476,358.03,113.1471,355.2231,-1.97,113.147,-4.777,0,0,0,0,0,0,353.4155,122.7562,7.160858,-6.585001,122.756,7.161,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43945,Far,-28.057,44.482,-5.3419,3.329928,6.815691,6.915277,-28.10195,44.28279,-15.77935,-28.80516,43.14921,-14.40206,-28.22378,43.84608,-15.88678,358.132,113.3577,355.1963,-1.868,113.358,-4.804,0,0,0,0,0,0,353.2259,122.8455,7.353102,-6.774,122.846,7.353,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43955,Far,-28.057,44.482,-5.3419,3.461631,6.815691,6.918607,-28.1038,44.2855,-15.77949,-28.80516,43.14921,-14.40206,-28.22665,43.84801,-15.88949,357.939,113.7316,355.3206,-2.061,113.732,-4.679,0,0,0,0,0,0,352.7808,123.4339,7.449504,-7.219,123.434,7.45,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43837,Far,-28.057,44.482,-5.3419,3.594981,6.815691,6.921337,-28.10606,44.28639,-15.77832,-28.80516,43.14921,-14.40206,-28.23001,43.8463,-15.89052,357.9181,113.9771,355.366,-2.082,113.977,-4.634,0,0,0,0,0,0,353.6081,124.1276,7.314076,-6.392,124.128,7.314,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43676,Far,-28.057,44.482,-5.3419,3.725976,6.815691,6.923694,-28.10749,44.28707,-15.77672,-28.80516,43.14921,-14.40206,-28.23321,43.84614,-15.89001,357.7976,113.9109,355.3841,-2.202,113.911,-4.616,0,0,0,0,0,0,353.356,124.1325,7.646877,-6.644001,124.133,7.647,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43639,Far,-28.057,44.482,-5.3419,3.859313,6.815691,6.924906,-28.10657,44.28732,-15.77635,-28.80516,43.14921,-14.40206,-28.23362,43.84652,-15.88951,357.8147,114.1446,355.5593,-2.185,114.145,-4.441,0,0,0,0,0,0,353.3241,124.1928,7.863462,-6.676,124.193,7.863,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43561,Far,-28.057,44.482,-5.3419,3.981635,6.815691,6.926204,-28.10573,44.28712,-15.77558,-28.80516,43.14921,-14.40206,-28.23319,43.84647,-15.88852,357.8352,114.0924,355.479,-2.165,114.092,-4.521,0,0,0,0,0,0,353.3461,124.1718,7.711536,-6.654,124.172,7.712,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.4357,Far,-28.057,44.482,-5.3419,4.106344,6.815691,6.927363,-28.10478,44.28705,-15.77567,-28.80516,43.14921,-14.40206,-28.23174,43.8453,-15.88756,357.9402,113.8872,355.3585,-2.06,113.887,-4.641,0,0,0,0,0,0,353.6712,124.0489,7.589261,-6.329,124.049,7.589,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43566,Far,-28.057,44.482,-5.3419,4.24786,6.815691,6.927363,-28.10489,44.28735,-15.77563,-28.80516,43.14921,-14.40206,-28.23098,43.84627,-15.88659,357.9323,113.8169,355.277,-2.068,113.817,-4.723,0,0,0,0,0,0,353.4985,123.9907,7.390045,-6.502,123.991,7.39,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43578,Far,-28.057,44.482,-5.3419,4.374921,6.815691,6.927363,-28.10515,44.28829,-15.77577,-28.80516,43.14921,-14.40206,-28.22989,43.84677,-15.88651,357.9193,113.7878,355.2951,-2.081,113.788,-4.705,0,0,0,0,0,0,353.4354,123.8093,7.469943,-6.565001,123.809,7.47,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
