userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.48643,Far,-28.057,44.482,-5.3419,0.02,0,58.3132,-34.51065,44.18794,-16.02716,-35.16,43.152,-14.71,-35.16,43.152,-14.71,328.2254,103.4103,3.460515,-31.775,103.41,3.461,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24775,Far,-28.057,44.482,-5.3419,0.464272,5.636209,232.9955,-34.53493,44.16625,-15.73152,-34.49601,43.75833,-15.82855,-34.57521,43.7627,-15.8482,335.953,104.0913,1.376507,-24.047,104.091,1.377,345.3427,208.9692,342.4095,-14.657,-151.031,-17.59,345.1838,214.4599,342.0741,-14.816,-145.54,-17.926,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24641,Far,-28.057,44.482,-5.3419,0.7968006,11.01355,407.6844,-34.53482,44.16534,-15.72997,-34.49569,43.75843,-15.82829,-34.57717,43.76176,-15.84943,336.3482,103.6324,1.386564,-23.652,103.632,1.387,345.3414,208.9646,342.4143,-14.659,-151.035,-17.586,345.2046,214.4552,342.0525,-14.795,-145.545,-17.947,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24624,Far,-28.057,44.482,-5.3419,0.9383358,19.97306,698.8309,-34.53477,44.16526,-15.7298,-34.49549,43.75875,-15.82784,-34.57857,43.76136,-15.85013,336.4145,103.6616,1.345769,-23.585,103.662,1.346,345.3412,208.9677,342.405,-14.659,-151.032,-17.595,345.206,214.4606,342.0392,-14.794,-145.539,-17.961,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24664,Far,-28.057,44.482,-5.3419,1.074551,28.93246,989.979,-34.53541,44.16547,-15.72989,-34.49535,43.75876,-15.82769,-34.57816,43.76146,-15.84987,336.3193,103.6877,1.388481,-23.681,103.688,1.388,345.3406,208.9728,342.4077,-14.659,-151.027,-17.592,345.1975,214.4541,342.0392,-14.802,-145.546,-17.961,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24683,Far,-28.057,44.482,-5.3419,1.214226,39.68425,1339.359,-34.5355,44.16535,-15.73005,-34.49545,43.75884,-15.82801,-34.57793,43.7617,-15.84965,336.3629,103.7293,1.283175,-23.637,103.729,1.283,345.3372,208.9691,342.4102,-14.663,-151.031,-17.59,345.1958,214.4437,342.0295,-14.804,-145.556,-17.97,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24662,Far,-28.057,44.482,-5.3419,1.361555,50.43523,1688.734,-34.53466,44.16459,-15.7303,-34.49512,43.75887,-15.82769,-34.57861,43.76131,-15.85023,336.6799,103.701,1.259256,-23.32,103.701,1.259,345.3401,208.9631,342.3981,-14.66,-151.037,-17.602,345.204,214.4512,342.0334,-14.796,-145.549,-17.967,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24605,Far,-28.057,44.482,-5.3419,1.494137,59.39469,1979.877,-34.5342,44.16447,-15.72991,-34.49506,43.75891,-15.82741,-34.57801,43.76161,-15.84963,336.714,103.6003,1.251335,-23.286,103.6,1.251,345.3307,208.9642,342.4059,-14.669,-151.036,-17.594,345.1923,214.4525,342.0393,-14.808,-145.547,-17.961,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24608,Far,-28.057,44.482,-5.3419,1.630014,68.35304,2271.018,-34.5344,44.16441,-15.72982,-34.4948,43.75903,-15.82744,-34.57779,43.76171,-15.84971,336.7224,103.5116,1.229118,-23.278,103.512,1.229,345.3362,208.9598,342.4107,-14.664,-151.04,-17.589,345.1884,214.4453,342.0468,-14.812,-145.555,-17.953,-35.16,43.14921,-14.39285,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.24606,Far,-28.057,44.482,-5.3419,1.793091,77.31067,2562.163,-34.53478,44.16506,-15.72958,-34.49517,43.75892,-15.8277,-34.57729,43.76208,-15.8492,336.5922,103.5672,1.106867,-23.408,103.567,1.107,345.3454,208.9632,342.4026,-14.655,-151.037,-17.597,345.1876,214.4436,342.0453,-14.812,-145.556,-17.955,-35.16,43.14921,-14.39285,0,0,0,0,0,0
