userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.04082,Far,-28.057,44.482,-5.3419,2.151665,0.5321903,-34.72264,44.15188,-15.36396,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,334.8513,102.2469,2.070247,-25.149,102.247,2.07,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.03045,Far,-28.057,44.482,-5.3419,2.27745,0.5321903,-34.67608,44.13087,-15.38163,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,333.5464,99.19159,6.52914,-26.454,99.192,6.529,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.01886,Far,-28.057,44.482,-5.3419,2.413076,0.5321903,-34.64141,44.11542,-15.38999,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,334.0876,98.81579,6.319497,-25.912,98.816,6.319,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.01789,Far,-28.057,44.482,-5.3419,2.550096,0.5321903,-34.6181,44.10451,-15.40367,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,336.0624,99.70377,6.897858,-23.938,99.704,6.898,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.0231,Far,-28.057,44.482,-5.3419,2.680725,0.5321903,-34.61115,44.10126,-15.41429,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,336.9501,100.3036,5.484624,-23.05,100.304,5.485,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.02795,Far,-28.057,44.482,-5.3419,2.812806,0.5321903,-34.61446,44.10307,-15.418,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,336.6726,100.3015,4.912685,-23.327,100.302,4.913,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.03207,Far,-28.057,44.482,-5.3419,2.953687,0.5321903,-34.62265,44.10801,-15.41777,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,336.3514,100.7355,4.355996,-23.649,100.735,4.356,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.03634,Far,-28.057,44.482,-5.3419,3.104974,0.5321903,-34.65228,44.13207,-15.40438,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,334.2702,101.2218,4.697405,-25.73,101.222,4.697,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.03649,Far,-28.057,44.482,-5.3419,3.241625,0.5321903,-34.69617,44.16066,-15.3766,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,331.1245,101.4323,6.234725,-28.876,101.432,6.235,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.03356,Far,-28.057,44.482,-5.3419,3.374556,0.5321903,-34.73135,44.16761,-15.34994,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,332.2263,101.8974,6.005919,-27.774,101.897,6.006001,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.02788,Far,-28.057,44.482,-5.3419,3.507129,0.5321903,-34.74134,44.16154,-15.33624,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,333.3167,99.8757,7.113757,-26.683,99.87601,7.114,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.02971,Far,-28.057,44.482,-5.3419,3.640396,0.5321903,-34.74001,44.15177,-15.33902,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,334.4003,99.44832,6.471138,-25.6,99.44801,6.471,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.03062,Far,-28.057,44.482,-5.3419,3.773073,0.5321903,-34.72107,44.13351,-15.35212,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,334.7574,99.96041,5.807662,-25.243,99.96001,5.808,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.0265,Far,-28.057,44.482,-5.3419,3.906989,0.5321903,-34.68366,44.10698,-15.37103,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,335.3088,100.0585,6.049009,-24.691,100.058,6.049,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.01919,Far,-28.057,44.482,-5.3419,4.049309,0.5321903,-34.63481,44.0741,-15.39311,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,336.6307,100.0389,5.009671,-23.369,100.039,5.01,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.01278,Far,-28.057,44.482,-5.3419,4.17775,0.5321903,-34.59015,44.05301,-15.41368,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,337.4677,100.457,4.831491,-22.532,100.457,4.831,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.00659,Far,-28.057,44.482,-5.3419,4.312498,0.5321903,-34.55393,44.03824,-15.42908,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,338.1836,100.7826,4.846246,-21.816,100.783,4.846,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.0012,Far,-28.057,44.482,-5.3419,4.470464,0.5321903,-34.52843,44.02973,-15.43868,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,339.2776,100.9745,5.275706,-20.722,100.974,5.276,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.99138,Far,-28.057,44.482,-5.3419,4.605229,0.5321903,-34.51171,44.03296,-15.43785,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,339.2485,99.8654,4.386111,-20.751,99.86501,4.386,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.98067,Far,-28.057,44.482,-5.3419,4.734819,0.5321903,-34.50493,44.03938,-15.42976,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,339.3184,98.53814,3.676454,-20.682,98.538,3.676,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.96966,Far,-28.057,44.482,-5.3419,4.867749,0.5321903,-34.51026,44.054,-15.41389,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,339.0505,97.4445,3.106109,-20.949,97.44401,3.106,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.96036,Far,-28.057,44.482,-5.3419,5.003262,0.5321903,-34.52727,44.07116,-15.39262,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,338.0215,95.48096,4.441372,-21.979,95.481,4.441,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.95744,Far,-28.057,44.482,-5.3419,5.139557,0.5321903,-34.54785,44.08059,-15.37624,-35.16,43.14921,-14.1806,-35.16,43.14921,-14.1806,338.1391,94.67992,4.156431,-21.861,94.68001,4.156,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.1806,0,0,0,0,0,0
