userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible (4),TaskVisible (5),TaskVisible (6),TaskVisible (7),TaskVisible (8),TaskVisible (9),TaskVisible (10),TaskVisible (11),TaskVisible (12),TaskVisible (13),TaskVisible (14),TaskVisible (15),TaskVisible (16),TaskVisible (17),TaskVisible (18),TaskVisible (19),TaskVisible (20),TaskVisible (21),TaskVisible (22),TaskVisible (23),buttonName,state
,Reflective,Main,1.905043,60.85566,-35.76514,44.634,-15.52817,-35.84203,44.22134,-15.14318,-35.48853,44.07037,-15.27749,10.08367,348.8452,358.1361,10.084,-11.155,-1.864,323.4901,347.9749,351.3828,-36.51,-12.025,-8.617001,14.4192,38.67398,342.3175,14.419,38.674,-17.683,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.072063,60.88662,-35.79511,44.63472,-15.53568,-35.90601,44.24815,-15.13409,-35.63643,44.08281,-15.26702,8.506155,345.201,357.1195,8.506001,-14.799,-2.881,321.7672,338.9098,355.4859,-38.233,-21.09,-4.514,14.17042,8.541908,7.94166,14.17,8.542001,7.942,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.204201,60.90514,-35.81277,44.63284,-15.54069,-35.94604,44.25821,-15.13606,-35.77364,44.22659,-15.29492,9.05322,343.2303,357.2859,9.053,-16.77,-2.714,319.8263,335.5378,353.8301,-40.174,-24.462,-6.17,351.2592,339.8649,15.93364,-8.741,-20.135,15.934,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.33736,60.92454,-35.83039,44.63202,-15.54868,-35.98411,44.26363,-15.14617,-35.83672,44.32165,-15.32442,8.849333,341.9969,356.732,8.849,-18.003,-3.268,319.2101,331.2899,355.2037,-40.79,-28.71,-4.796,340.7091,329.8084,2.925508,-19.291,-30.192,2.926,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.468083,60.94271,-35.84654,44.63248,-15.55692,-36.01486,44.26478,-15.15661,-35.87562,44.35067,-15.33804,8.147366,339.6947,356.4662,8.147,-20.305,-3.534,319.3491,329.2279,356.0847,-40.651,-30.772,-3.915,338.1527,324.1482,4.689632,-21.847,-35.852,4.69,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.594173,60.95304,-35.85519,44.63572,-15.5614,-36.03696,44.26414,-15.16462,-35.89571,44.36315,-15.34801,7.538295,338.5077,356.9061,7.538001,-21.492,-3.094,319.6183,328.0992,356.1966,-40.382,-31.901,-3.803,335.4917,321.5417,5.264375,-24.508,-38.458,5.264,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.751286,60.95998,-35.85921,44.63699,-15.56641,-36.05135,44.26254,-15.1738,-35.91397,44.36362,-15.35643,7.065819,337.054,356.692,7.066,-22.946,-3.308,319.5235,327.5751,355.3095,-40.477,-32.425,-4.69,335.3514,318.8097,4.818984,-24.649,-41.19,4.819,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,2.905553,60.96967,-35.85394,44.63895,-15.57403,-36.06195,44.2679,-15.18403,-35.92317,44.33925,-15.36187,6.433342,335.0446,356.9662,6.433,-24.955,-3.034,319.134,325.9163,355.5243,-40.866,-34.084,-4.476,340.2113,316.618,4.904404,-19.789,-43.382,4.904,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,3.046284,60.98846,-35.83929,44.64161,-15.58541,-36.06432,44.27351,-15.19399,-35.92289,44.31876,-15.37193,4.309575,332.631,356.6021,4.31,-27.369,-3.398,318.5281,323.9895,355.7173,-41.472,-36.011,-4.283,343.8925,314.7848,4.565145,-16.108,-45.215,4.565,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
,Reflective,Main,3.176269,61.0155,-35.81714,44.64603,-15.60026,-36.05835,44.27841,-15.2052,-35.90997,44.34586,-15.38477,1.599733,329.8821,356.2426,1.6,-30.118,-3.757,317.591,322.7775,355.3701,-42.409,-37.223,-4.63,339.294,313.5021,4.573624,-20.706,-46.498,4.574,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
