userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23126,Far,-28.057,44.482,-5.3419,2.005723,0.3437901,58.76007,-34.58681,44.15835,-15.67924,-34.49347,43.75998,-15.80276,-34.57653,43.76242,-15.82576,337.9678,104.5192,359.4921,-22.032,104.519,-0.508,345.36,208.6136,342.8249,-14.64,-151.386,-17.175,345.2065,212.4254,341.2019,-14.793,-147.575,-18.798,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23107,Far,-28.057,44.482,-5.3419,2.138102,0.3437901,58.76103,-34.58703,44.15854,-15.67888,-34.49356,43.75998,-15.80263,-34.57655,43.76242,-15.82565,337.8589,104.4892,359.5593,-22.141,104.489,-0.441,345.3541,208.6115,342.8181,-14.646,-151.388,-17.182,345.2113,212.4299,341.1978,-14.789,-147.57,-18.802,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23053,Far,-28.057,44.482,-5.3419,2.276198,0.3437901,58.76193,-34.5868,44.15844,-15.67838,-34.4937,43.76005,-15.80276,-34.57669,43.76242,-15.82598,337.8831,104.3907,359.559,-22.117,104.391,-0.441,345.3562,208.6165,342.8172,-14.644,-151.384,-17.183,345.2176,212.4158,341.1909,-14.782,-147.584,-18.809,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23068,Far,-28.057,44.482,-5.3419,2.409973,0.3437901,58.76256,-34.58689,44.15835,-15.6785,-34.49344,43.75976,-15.80263,-34.57645,43.76229,-15.82567,337.8907,104.4176,359.5644,-22.109,104.418,-0.436,345.3516,208.6127,342.8234,-14.648,-151.387,-17.177,345.2072,212.4045,341.1855,-14.793,-147.596,-18.814,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23099,Far,-28.057,44.482,-5.3419,2.544191,0.3437901,58.76326,-34.5871,44.15863,-15.67874,-34.49401,43.75994,-15.80337,-34.57797,43.76202,-15.82691,337.9193,104.4426,359.541,-22.081,104.443,-0.459,345.3638,208.6145,342.8265,-14.636,-151.385,-17.174,345.2228,212.4038,341.1872,-14.777,-147.596,-18.813,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23105,Far,-28.057,44.482,-5.3419,2.675313,0.3437901,58.76437,-34.58683,44.15788,-15.67896,-34.49364,43.75975,-15.80302,-34.57719,43.76197,-15.82641,338.024,104.509,359.4111,-21.976,104.509,-0.589,345.353,208.612,342.8213,-14.647,-151.388,-17.179,345.2093,212.3898,341.1897,-14.791,-147.61,-18.81,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23081,Far,-28.057,44.482,-5.3419,2.81323,0.3437901,58.76543,-34.58667,44.15774,-15.67878,-34.49378,43.76001,-15.80273,-34.57781,43.76192,-15.82653,338.1214,104.4662,359.5275,-21.879,104.466,-0.473,345.3519,208.6173,342.8138,-14.648,-151.383,-17.186,345.2047,212.3871,341.1766,-14.795,-147.613,-18.823,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23082,Far,-28.057,44.482,-5.3419,2.948235,0.3437901,58.76604,-34.58662,44.15769,-15.67882,-34.49322,43.76009,-15.80261,-34.57755,43.76197,-15.82658,338.1225,104.4721,359.5109,-21.878,104.472,-0.489,345.3487,208.6075,342.8279,-14.651,-151.392,-17.172,345.198,212.3862,341.1961,-14.802,-147.614,-18.804,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23041,Far,-28.057,44.482,-5.3419,3.078963,0.3437901,58.76709,-34.58678,44.15794,-15.67824,-34.49333,43.76015,-15.80242,-34.57782,43.76196,-15.82656,338.1165,104.4553,359.5782,-21.883,104.455,-0.422,345.3487,208.6121,342.8185,-14.651,-151.388,-17.182,345.1962,212.3787,341.1786,-14.804,-147.621,-18.821,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.22995,Far,-28.057,44.482,-5.3419,3.210971,0.3437901,58.76788,-34.58668,44.15797,-15.67776,-34.49331,43.76011,-15.80263,-34.57725,43.76212,-15.82634,338.0786,104.4051,359.6494,-21.921,104.405,-0.351,345.3513,208.6102,342.8305,-14.649,-151.39,-17.17,345.1939,212.3789,341.1809,-14.806,-147.621,-18.819,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.22985,Far,-28.057,44.482,-5.3419,3.345716,0.3437901,58.76886,-34.58698,44.15797,-15.67745,-34.49319,43.76012,-15.80276,-34.57725,43.76215,-15.82646,338.0925,104.273,359.6487,-21.907,104.273,-0.351,345.36,208.612,342.8292,-14.64,-151.388,-17.171,345.201,212.3734,341.188,-14.799,-147.627,-18.812,-35.16,43.14921,-14.369,0,0,0,0,0,0
