PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.30081,0.02,0,-36.74773,44.46703,-14.8403,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.32007,0.4970588,0.04249461,-36.78333,44.44977,-14.83468,-37.48474,44.04471,-14.93025,-37.50679,44.09697,-14.7532,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.3217,0.9097919,0.04514822,-36.78454,44.44798,-14.83575,-37.48484,44.0449,-14.93021,-37.50632,44.09724,-14.75261,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.32155,1.06211,0.04654223,-36.78354,44.44815,-14.83642,-37.48431,44.04463,-14.92995,-37.50588,44.09719,-14.75237,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.32189,1.204393,0.04792222,-36.78314,44.44808,-14.83721,-37.48429,44.04495,-14.93005,-37.50563,44.09758,-14.75229,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.32165,1.359348,0.04870095,-36.78329,44.44812,-14.83677,-37.48449,44.04496,-14.92986,-37.50622,44.09713,-14.75248,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.32166,1.530854,0.04938241,-36.78354,44.4483,-14.83656,-37.48409,44.04498,-14.92966,-37.50565,44.09758,-14.75207,,,,,,,-28.721,44.641,-5.5209
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,18.41209,1.720827,0.1083369,-36.78353,44.50703,-14.83671,-37.48438,44.10354,-14.92965,-37.50578,44.15622,-14.7519,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,2,Task2,0,0.4,0.4,23.86122,1.86224,0.1683248,-36.78324,44.44886,-14.83641,-37.48459,44.04494,-14.92997,-37.50596,44.09751,-14.75218,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,3,Task3,0,0.9,0.9,25.19236,2.004491,0.2867092,-36.78272,44.44872,-14.83646,-37.48449,44.04493,-14.9296,-37.50604,44.09751,-14.75204,,,,,,,-13.658,40.852,-5.5109
