PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.36222,0.02,0,-36.77301,44.48583,-14.89989,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.36237,0.4521147,0.04149012,-36.80231,44.48591,-14.87486,-35.16,43.14921,-14.71,-37.57899,44.04715,-14.88676,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.36236,0.9098774,0.04282396,-36.80208,44.48565,-14.87504,-35.16,43.14921,-14.71,-37.57904,44.04698,-14.88622,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.3616,1.087358,0.04385262,-36.80133,44.48604,-14.87469,-35.16,43.14921,-14.71,-37.57875,44.04732,-14.88633,,,,,,,-28.721,44.641,-5.5209
Walk,Complexity,Walk,2,Task2,0,0.4,0.4,23.89191,1.292433,0.1038499,-36.80084,44.54506,-14.87426,-35.16,43.208,-14.71,-37.57918,44.10609,-14.88657,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,4,Task4,0,0.35,0.35,19.05356,1.491676,0.2215175,-36.80137,44.54504,-14.87382,-35.16,43.208,-14.71,-37.57886,44.10624,-14.88647,,,,,,,-23.471,31.951,-9.703745
Walk,Complexity,Walk,4,Task4,0.5036428,0.35,0.1536428,19.01546,1.642359,0.3982813,-36.80264,44.48589,-14.87399,-35.16,43.14921,-14.71,-37.57888,44.04733,-14.88602,,,,,,,-23.471,31.951,-9.703745
Walk,Plateau,Walk,5,Task5,0,0.7,0.7,28.75396,1.809522,0.3995786,-36.80293,44.48561,-14.8748,-35.16,43.14921,-14.71,-37.57864,44.04754,-14.88607,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,6,Task5,0.5036428,0.7,0.1963572,28.75332,1.962302,0.5179299,-36.80201,44.48579,-14.87426,-35.16,43.14921,-14.71,-37.57877,44.04763,-14.88593,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,6,Task5,0.5036428,0.7,0.1963572,28.75294,2.123479,0.635583,-36.8014,44.48602,-14.87435,-35.16,43.14921,-14.71,-37.57845,44.04777,-14.88584,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,7,Task5,0.5036428,0.7,0.1963572,28.75578,2.262123,0.7487175,-36.80194,44.49026,-14.87423,-35.16,43.15407,-14.71,-37.57828,44.05242,-14.88553,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,8,Task5,0.5036428,0.7,0.1963572,28.75398,2.417223,0.8720798,-36.80288,44.48569,-14.87414,-35.16,43.14921,-14.71,-37.57822,44.04758,-14.88548,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,9,Task5,0.5036428,0.7,0.1963572,28.75416,2.549593,0.8726256,-36.80316,44.4856,-14.87432,-35.16,43.14921,-14.71,-37.57805,44.04773,-14.88538,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,28.75437,2.697035,0.9909478,-36.80344,44.48557,-14.87446,-35.16,43.14921,-14.71,-37.57815,44.04796,-14.88525,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,28.75408,2.82871,1.109029,-36.80317,44.48542,-14.87417,-35.16,43.14921,-14.71,-37.57793,44.04765,-14.88519,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,28.75447,2.960668,1.109743,-36.80342,44.48575,-14.87412,-35.16,43.14921,-14.71,-37.57817,44.04786,-14.88543,,,,,,,-13.049,28.321,-15.9911
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.36214,3.096917,1.110613,-36.80338,44.48592,-14.87363,-35.16,43.14921,-14.71,-37.57829,44.04784,-14.88539,,,,,,,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.3596,3.263304,1.171728,-36.80077,44.54513,-14.87332,-35.16,43.208,-14.71,-37.57838,44.10645,-14.88589,,,,,,,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.35872,3.385483,1.172976,-36.80026,44.54531,-14.8726,-35.16,43.208,-14.71,-37.57834,44.10627,-14.88586,,,,,,,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.35919,3.518528,1.173663,-36.80047,44.54533,-14.87304,-35.16,43.208,-14.71,-37.57854,44.10628,-14.88588,,,,,,,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.35866,3.661397,1.17971,-36.8045,44.5463,-14.86886,-35.16,43.208,-14.71,-37.57832,44.10636,-14.88571,,,,,,,-28.721,44.641,-5.5209
