PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.02,-34.22285,43.98877,-13.22902,-35.16,43.152,-14.71,-35.16,43.152,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.4488385,-34.49102,44.63849,-13.3935,-34.66613,44.50866,-13.66617,-34.34912,44.46483,-13.57497,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7658378,-34.55633,44.80859,-14.1867,-34.73868,44.6173,-13.85057,-34.45533,44.61366,-13.80969,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9095187,-34.61823,44.81071,-14.25136,-34.78254,44.62136,-13.92138,-34.5292,44.61802,-13.88754,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.030908,-34.68581,44.80512,-14.30447,-34.83778,44.60566,-13.97795,-34.605,44.58774,-13.94442,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.163175,-34.75132,44.80845,-14.3535,-34.89065,44.58553,-14.03325,-34.67544,44.56829,-14.01517,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.299577,-34.80054,44.81216,-14.39865,-34.94096,44.57072,-14.08833,-34.73869,44.55145,-14.07024,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.422925,-34.8275,44.81391,-14.43118,-34.9796,44.55553,-14.14221,-34.77465,44.54322,-14.11982,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.554967,-34.84094,44.81702,-14.46602,-35.02056,44.53007,-14.1909,-34.80107,44.54264,-14.17117,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.68003,-34.83828,44.86002,-14.46678,-35.04988,44.54504,-14.23255,-34.82084,44.57571,-14.19577,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.811602,-34.83368,44.8597,-14.48216,-35.06155,44.50537,-14.3003,-34.84205,44.54651,-14.24282,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.945659,-34.83084,44.85342,-14.49813,-35.05675,44.46642,-14.35815,-34.84862,44.50153,-14.29156,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.083237,-34.83523,44.85191,-14.51649,-35.05224,44.44358,-14.39611,-34.86905,44.46936,-14.32833,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.227926,-34.84788,44.85376,-14.53486,-35.04774,44.42965,-14.42299,-34.89665,44.45089,-14.35622,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.358318,-34.87105,44.85561,-14.55186,-35.06019,44.42937,-14.43963,-34.92665,44.45634,-14.3817,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.492692,-34.90773,44.85512,-14.56273,-35.09369,44.43219,-14.44916,-34.96293,44.45884,-14.39452,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.626838,-34.97004,44.85206,-14.56925,-35.14382,44.42989,-14.45827,-35.01822,44.45731,-14.39707,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.762397,-35.05992,44.84875,-14.57393,-35.21476,44.41864,-14.47318,-35.09882,44.45149,-14.39875,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.885848,-35.13573,44.8464,-14.57866,-35.2943,44.41144,-14.48826,-35.18515,44.44807,-14.40068,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.018875,-35.20608,44.84746,-14.58221,-35.36572,44.41661,-14.49918,-35.25757,44.45065,-14.40741,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.162493,-35.26061,44.84913,-14.58044,-35.42699,44.4263,-14.50846,-35.32096,44.45826,-14.41493,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.298399,-35.30108,44.84459,-14.56904,-35.47149,44.42403,-14.505,-35.36433,44.46133,-14.41312,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.442753,-35.34022,44.83788,-14.55134,-35.50688,44.41695,-14.49223,-35.40894,44.45866,-14.39537,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.575214,-35.37001,44.83215,-14.53162,-35.53578,44.40965,-14.47526,-35.44309,44.45316,-14.37015,
