userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.32067,Far,-28.661,44.641,-5.3419,0.02,0,-35.58532,43.58361,-16.6722,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.82405,Far,-28.661,44.641,-5.3419,0.4897597,0,-35.1823,43.81714,-16.35327,-35.47781,43.56959,-16.87585,-35.5689,43.54779,-16.87949,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.84827,Far,-28.661,44.641,-5.3419,0.8275918,0,-35.02642,43.933,-16.48004,-35.47116,43.57476,-16.88381,-35.56102,43.53755,-16.89996,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.82137,Far,-28.661,44.641,-5.3419,0.9551829,0,-34.98883,43.95048,-16.47156,-35.4757,43.58013,-16.89737,-35.55319,43.5355,-16.91486,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.80366,Far,-28.661,44.641,-5.3419,1.080485,0,-34.95987,43.98096,-16.46945,-35.46928,43.58664,-16.90477,-35.53247,43.52415,-16.92427,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.78528,Far,-28.661,44.641,-5.3419,1.217535,0,-34.92624,44.0169,-16.46937,-35.44841,43.60363,-16.87189,-35.51102,43.56033,-16.85312,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.77327,Far,-28.661,44.641,-5.3419,1.358212,0,-34.88682,44.07431,-16.48078,-35.3778,43.6559,-16.79877,-35.43557,43.61294,-16.81411,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.76155,Far,-28.661,44.641,-5.3419,1.485004,0,-34.84385,44.1549,-16.49508,-35.29143,43.76472,-16.6685,-35.34181,43.7513,-16.70609,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.7409,Far,-28.661,44.641,-5.3419,1.630197,0,-34.82489,44.2626,-16.48613,-35.20627,43.91895,-16.48285,-35.21023,43.92318,-16.55059,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.7103,Far,-28.661,44.641,-5.3419,1.764842,0,-34.83151,44.37307,-16.45067,-35.09622,43.97723,-16.35144,-35.0434,44.00621,-16.40614,0,0,0
