PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,m_TeleportPositionStep.x,m_TeleportPositionStep.y,m_TeleportPositionStep.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.14312,0.02,0,-33.2593,43.85616,-13.41929,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134885,0.4971817,0.01286614,-33.25664,43.84907,-13.41057,-35.16,43.14921,-14.71,-33.53277,43.96278,-13.34819,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134509,0.9099021,0.0134034,-33.25632,43.84923,-13.41034,-35.16,43.14921,-14.71,-33.53346,43.96308,-13.34975,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134792,1.104633,0.01416332,-33.25671,43.84917,-13.41043,-35.16,43.14921,-14.71,-33.53325,43.96321,-13.34925,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134896,1.299601,0.01492426,-33.25673,43.84911,-13.41054,-35.16,43.14921,-14.71,-33.53345,43.96332,-13.34977,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134803,1.497997,0.0155185,-33.2568,43.84922,-13.4104,-35.16,43.14921,-14.71,-33.53342,43.96351,-13.34992,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135119,1.657469,0.01589949,-33.257,43.84912,-13.41065,-35.16,43.14921,-14.71,-33.53307,43.96318,-13.34974,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134769,1.80885,0.0167403,-33.25664,43.84917,-13.41045,-35.16,43.14921,-14.71,-33.53347,43.96342,-13.35028,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135107,2.001478,0.01725097,-33.25697,43.84902,-13.41064,-35.16,43.14921,-14.71,-33.53359,43.96374,-13.35069,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135129,2.181118,0.01767888,-33.25691,43.84918,-13.41071,-35.16,43.14921,-14.71,-33.5333,43.96322,-13.34962,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134613,2.330788,0.01864504,-33.25673,43.84929,-13.41023,-35.16,43.14921,-14.71,-33.53333,43.96331,-13.34937,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134779,2.505596,0.01949902,-33.25655,43.84929,-13.41052,-35.16,43.14921,-14.71,-33.53286,43.96292,-13.34843,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135045,2.702966,0.02004133,-33.2568,43.84931,-13.41069,-35.16,43.14921,-14.71,-33.53333,43.96325,-13.34966,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135009,2.888715,0.02073071,-33.25686,43.84938,-13.41062,-35.16,43.14921,-14.71,-33.53331,43.96331,-13.34962,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135077,3.074533,0.02117972,-33.25682,43.84934,-13.41072,-35.16,43.14921,-14.71,-33.53336,43.96338,-13.34978,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135022,3.263395,0.02182792,-33.25672,43.84924,-13.4107,-35.16,43.14921,-14.71,-33.5335,43.96349,-13.3506,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134629,3.483319,0.0232156,-33.2565,43.84921,-13.41037,-35.16,43.14921,-14.71,-33.53325,43.96325,-13.34997,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135035,3.642425,0.02388767,-33.25689,43.84917,-13.41062,-35.16,43.14921,-14.71,-33.5336,43.96329,-13.34991,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.13491,3.792853,0.02429244,-33.25671,43.84913,-13.41057,-35.16,43.14921,-14.71,-33.53291,43.96277,-13.34849,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134977,3.95025,0.02470649,-33.25681,43.84908,-13.41059,-35.16,43.14921,-14.71,-33.53337,43.9632,-13.34961,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135054,4.121027,0.02519765,-33.25681,43.84911,-13.41067,-35.16,43.14921,-14.71,-33.53315,43.96285,-13.34896,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.135016,4.320225,0.02592897,-33.25679,43.84919,-13.41065,-35.16,43.14921,-14.71,-33.53328,43.96301,-13.34954,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134889,4.476724,0.02669284,-33.25651,43.8494,-13.41069,-35.16,43.14921,-14.71,-33.53277,43.96298,-13.34851,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.134878,4.622635,0.02727553,-33.2567,43.84913,-13.41054,-35.16,43.14921,-14.71,-33.53325,43.96323,-13.34936,0,0,0,-28.721,44.641,-5.5209
