PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.82609,0.02,0,-37.56199,44.06438,-14.79521,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.59952,0.4579896,0.5078508,-37.44531,44.5137,-14.61035,-35.19864,43.14921,-14.76627,-37.4836,44.08178,-14.76107,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.2528,0.8327162,1.265693,-37.18521,45.09711,-14.36852,-35.21596,43.14921,-14.92106,-37.47517,44.09607,-14.81476,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.33984,0.9721602,1.482481,-37.12768,45.00451,-14.54682,-35.23252,43.14921,-15.01148,-37.48182,44.1014,-14.8645,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.54355,1.107625,1.793991,-37.09724,45.00029,-14.85097,-35.23452,43.14921,-15.16981,-37.47329,44.10709,-14.97816,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.80571,1.243766,2.179633,-37.06116,44.96699,-15.23284,-35.23766,43.14921,-15.38332,-37.46572,44.11282,-15.14506,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.09919,1.428387,2.577037,-37.04904,44.92865,-15.62782,-35.25174,43.14922,-15.66444,-37.44846,44.14783,-15.60552,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.47047,1.55666,3.054157,-37.05397,44.87905,-16.10194,-35.27617,43.14921,-16.00748,-37.49176,44.13545,-15.9708,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.78029,1.701155,3.429891,-37.08648,44.81601,-16.47008,-35.30364,43.14721,-16.29402,-37.55466,44.10843,-16.31008,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,14.05346,1.834309,3.780861,-37.14597,44.6492,-16.76899,-35.34833,43.02374,-16.55742,-37.62416,43.96667,-16.61109,,,,,,,-28.721,44.641,-5.5209
