PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.02,-34.00797,43.90765,-13.27425,-35.16,43.152,-14.71,-35.16,43.152,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.4504125,-34.00826,43.9054,-13.27565,-34.34595,44.00859,-13.12447,-34.26,44.01196,-13.06191,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7866815,-34.00802,43.90468,-13.27381,-34.34632,44.00853,-13.12435,-34.26056,44.01194,-13.06188,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9137924,-34.00756,43.90447,-13.27352,-34.34582,44.00862,-13.12443,-34.26014,44.01203,-13.06235,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.046144,-34.00739,43.90458,-13.273,-34.34592,44.00875,-13.12438,-34.26009,44.01211,-13.06189,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.180041,-34.00751,43.90459,-13.27357,-34.34602,44.00868,-13.1247,-34.26018,44.01197,-13.06211,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.314027,-34.00728,43.90452,-13.2732,-34.34579,44.00889,-13.12498,-34.2598,44.01183,-13.06161,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.448726,-34.00772,43.90449,-13.27351,-34.34622,44.00875,-13.12499,-34.2603,44.01163,-13.06134,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.586414,-34.00772,43.90456,-13.27358,-34.34589,44.00867,-13.12493,-34.26001,44.01183,-13.06153,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.718128,-34.00798,43.90461,-13.27332,-34.34625,44.0088,-13.12462,-34.26037,44.01213,-13.06175,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.85131,-34.00759,43.90472,-13.27371,-34.34581,44.00861,-13.1248,-34.26019,44.01199,-13.0622,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.985598,-34.00764,43.90488,-13.27401,-34.34565,44.00868,-13.12476,-34.25985,44.01212,-13.06211,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.12175,-34.00796,43.90495,-13.27404,-34.34606,44.00868,-13.12423,-34.26026,44.0124,-13.06242,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.251033,-34.00782,43.90512,-13.27418,-34.34595,44.00871,-13.12428,-34.26005,44.01244,-13.06262,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.386681,-34.00809,43.90504,-13.275,-34.34617,44.00857,-13.12508,-34.26033,44.01216,-13.06341,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.52604,-34.00807,43.90523,-13.27488,-34.34612,44.00879,-13.12485,-34.26032,44.01231,-13.0629,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.658864,-34.00819,43.9053,-13.2754,-34.34608,44.00873,-13.12499,-34.2604,44.01252,-13.06328,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.790943,-34.00827,43.90542,-13.27543,-34.34614,44.00888,-13.12491,-34.26009,44.0125,-13.06287,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.926623,-34.00829,43.90533,-13.27577,-34.34604,44.0085,-13.12515,-34.26039,44.01246,-13.0638,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.0578,-34.00807,43.90535,-13.2751,-34.34612,44.00874,-13.12467,-34.26007,44.01248,-13.0631,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.190508,-34.00779,43.90553,-13.27532,-34.34571,44.00874,-13.12473,-34.2602,44.01258,-13.06333,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.325226,-34.00784,43.9053,-13.27505,-34.34589,44.00854,-13.1246,-34.26051,44.01241,-13.06357,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.472236,-34.00808,43.90522,-13.275,-34.34594,44.00861,-13.12436,-34.26033,44.0124,-13.06303,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.601296,-34.00815,43.90512,-13.27463,-34.34608,44.00863,-13.12415,-34.26036,44.0124,-13.0627,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.76318,-34.00772,43.90519,-13.27474,-34.34573,44.00844,-13.12411,-34.26003,44.01217,-13.06312,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.896929,-34.00805,43.90516,-13.27454,-34.34611,44.00835,-13.1235,-34.26046,44.01238,-13.06279,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.033062,-34.00792,43.90509,-13.27451,-34.3461,44.0083,-13.12343,-34.26048,44.01247,-13.06296,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.198575,-34.00785,43.90497,-13.27472,-34.34588,44.00817,-13.12348,-34.26041,44.01233,-13.06317,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.36378,-34.00811,43.90487,-13.27451,-34.34613,44.00817,-13.1234,-34.26052,44.01228,-13.06277,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.500986,-34.008,43.90488,-13.27438,-34.34604,44.00814,-13.12332,-34.26031,44.01237,-13.06281,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.645743,-34.00794,43.905,-13.27403,-34.34607,44.00836,-13.12322,-34.2604,44.0125,-13.06275,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.767842,-34.00793,43.90493,-13.27443,-34.34595,44.00825,-13.1237,-34.26024,44.01224,-13.06298,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.902075,-34.00769,43.90508,-13.27421,-34.34579,44.00848,-13.12379,-34.26012,44.01236,-13.06266,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.037908,-34.00797,43.90487,-13.27462,-34.34598,44.00851,-13.1243,-34.26031,44.01231,-13.06298,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.190072,-34.00797,43.90502,-13.27425,-34.34613,44.00866,-13.12438,-34.26042,44.0124,-13.06249,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.32463,-34.00784,43.90517,-13.2743,-34.346,44.00871,-13.12444,-34.26054,44.01229,-13.06256,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.46083,-34.00787,43.90523,-13.27473,-34.34598,44.00864,-13.12456,-34.26031,44.01229,-13.06263,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.596816,-34.00792,43.9052,-13.27492,-34.34594,44.00872,-13.12446,-34.2602,44.01232,-13.06279,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.729816,-34.00811,43.9052,-13.27486,-34.34601,44.0087,-13.12447,-34.26039,44.01243,-13.06313,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.867154,-34.00816,43.90522,-13.27514,-34.34622,44.00852,-13.12471,-34.26047,44.01223,-13.06289,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.99552,-34.00812,43.90511,-13.27488,-34.34608,44.00856,-13.12455,-34.26044,44.01234,-13.0628,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.128167,-34.00808,43.90505,-13.27479,-34.34603,44.00867,-13.12442,-34.26038,44.01232,-13.06326,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.261777,-34.00801,43.90498,-13.27455,-34.34616,44.00853,-13.12438,-34.26048,44.01223,-13.0632,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.397601,-34.00775,43.90495,-13.2743,-34.34601,44.00852,-13.1243,-34.26027,44.01226,-13.06273,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.531167,-34.00765,43.90497,-13.27442,-34.34581,44.00848,-13.12442,-34.25999,44.01217,-13.06268,
