PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.553732,4.186223,2.886885,-34.42184,44.78579,-13.18596,-34.34578,44.06958,-13.14202,-34.18324,44.06929,-13.17969,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.622185,4.344265,2.976677,-34.42862,44.82734,-13.26524,-34.35835,44.13967,-13.16634,-34.17978,44.1208,-13.21083,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.733044,4.526118,3.117274,-34.43085,44.86503,-13.39996,-34.37587,44.32159,-13.21122,-34.20799,44.34115,-13.30115,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.847204,4.686485,3.254769,-34.43563,44.8655,-13.53714,-34.39853,44.51147,-13.28934,-34.21442,44.50822,-13.3996,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.921059,4.852426,3.3417,-34.44157,44.87471,-13.62324,-34.41743,44.58096,-13.36353,-34.2094,44.54129,-13.44297,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.960159,5.012564,3.384958,-34.45032,44.88235,-13.6647,-34.44339,44.59883,-13.42748,-34.23271,44.50911,-13.45118,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.959316,5.191139,3.409336,-34.45493,44.89166,-13.66014,-34.46721,44.5891,-13.45158,-34.26299,44.49446,-13.45933,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.891999,5.359909,3.48941,-34.44912,44.90031,-13.58149,-34.47858,44.5798,-13.40805,-34.24917,44.47839,-13.39465,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.762921,5.522072,3.634048,-34.42488,44.90638,-13.43987,-34.47015,44.57181,-13.29366,-34.21192,44.47078,-13.26807,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.60365,5.671456,3.813485,-34.39791,44.90516,-13.26254,-34.45192,44.56896,-13.13072,-34.17068,44.46683,-13.10107,,,,,,,-28.721,44.641,-5.5209
