userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.46896,Far,-28.661,44.641,-5.3419,0.02,0,-35.36453,43.5451,-16.97266,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,15.53142,Far,-28.661,44.641,-5.3419,0.4792153,6.714664,-35.36459,36.83036,-16.97293,-35.50951,36.83196,-16.94122,-35.53366,36.83001,-16.87134,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.11499,Far,-28.661,44.641,-5.3419,0.7585779,11.06713,-35.36401,32.47751,-16.97254,-35.50934,32.48011,-16.94056,-35.53381,32.47768,-16.87155,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.24018,Far,-28.661,44.641,-5.3419,0.8871023,11.25807,-35.36033,32.28789,-16.97047,-35.51281,32.29016,-16.93832,-35.53393,32.28667,-16.87132,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.33691,Far,-28.661,44.641,-5.3419,1.012193,11.41877,-35.34677,32.13256,-16.96436,-35.5099,32.1298,-16.93852,-35.53321,32.12625,-16.87185,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.33862,Far,-28.661,44.641,-5.3419,1.146532,11.58963,-35.31256,32.02617,-16.87132,-35.5103,31.95856,-16.94063,-35.53378,31.95601,-16.87127,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.25692,Far,-28.661,44.641,-5.3419,1.280487,11.70951,-35.28117,31.99756,-16.7275,-35.50957,31.83959,-16.94147,-35.53391,31.83586,-16.87141,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.12148,Far,-28.661,44.641,-5.3419,1.414538,11.70951,-35.24052,32.05639,-16.59914,-35.50919,31.8387,-16.9414,-35.5337,31.83577,-16.87151,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,18.01733,Far,-28.661,44.641,-5.3419,1.54975,11.70951,-35.18468,32.0626,-16.47068,-35.50923,31.83858,-16.94167,-35.5337,31.83583,-16.87163,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,17.95422,Far,-28.661,44.641,-5.3419,1.686384,11.70951,-35.14605,32.04165,-16.36708,-35.50949,31.83881,-16.94135,-35.53297,31.83454,-16.87389,0,0,0
