PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.919745,0.02,0,-34.17736,44.41154,-13.80201,-35.16,43.152,-14.71,-35.16,43.152,-14.71,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.886544,0.4983016,0.145376,-34.27142,44.38288,-13.6983,-33.64039,43.962,-13.3561,-33.51687,43.98565,-13.40053,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.883811,0.891794,0.1496318,-34.26737,44.3821,-13.69773,-33.64085,43.96268,-13.35776,-33.51713,43.986,-13.4009,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.882456,1.059778,0.1512703,-34.266,44.38185,-13.69701,-33.64059,43.96271,-13.35786,-33.51691,43.98596,-13.40088,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.881083,1.217218,0.1540498,-34.26329,44.38155,-13.69718,-33.64094,43.96287,-13.35877,-33.51704,43.98598,-13.40128,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.878398,1.372041,0.1821509,-34.23905,44.38623,-13.71047,-33.64054,43.96259,-13.35734,-33.51687,43.98603,-13.40106,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.877767,1.537112,0.2199359,-34.20769,44.39035,-13.73088,-33.64114,43.96335,-13.35975,-33.51698,43.98605,-13.4011,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.881359,1.713836,0.2391969,-34.19701,44.3819,-13.74206,-33.64062,43.96284,-13.35854,-33.51675,43.98572,-13.4009,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.890503,1.880774,0.250743,-34.20058,44.37587,-13.75048,-33.64071,43.96318,-13.3587,-33.51677,43.98602,-13.40093,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.900055,2.044759,0.2623855,-34.21048,44.37452,-13.75532,-33.64063,43.96287,-13.35813,-33.51667,43.98597,-13.40088,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.903276,2.177517,0.2697197,-34.2151,44.37975,-13.75628,-33.64079,43.96292,-13.35872,-33.51691,43.98567,-13.40067,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.90287,2.324823,0.2780839,-34.2183,44.38699,-13.75389,-33.6403,43.9623,-13.35634,-33.51661,43.98619,-13.40075,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.898077,2.509119,0.2854669,-34.21985,44.38662,-13.74707,-33.64021,43.96197,-13.35555,-33.51672,43.98608,-13.40074,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.894773,2.647142,0.293501,-34.22355,44.38403,-13.74054,-33.64035,43.96193,-13.35534,-33.51687,43.98599,-13.40077,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.893931,2.784668,0.2960736,-34.22489,44.38399,-13.73863,-33.64026,43.96173,-13.35571,-33.51694,43.98592,-13.40107,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.891333,2.944995,0.2990839,-34.22261,44.3833,-13.73701,-33.64014,43.96147,-13.35447,-33.51688,43.9859,-13.40067,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.889935,3.117395,0.3017067,-34.22025,44.38244,-13.73688,-33.63972,43.9609,-13.3529,-33.51672,43.98603,-13.40075,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.889027,3.282644,0.3035588,-34.21882,44.38219,-13.73673,-33.6404,43.96159,-13.35487,-33.51702,43.98593,-13.40079,-28.721,44.641,-5.5209
