PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.02,-34.00817,43.90786,-13.27463,-35.16,43.152,-14.71,-35.16,43.152,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.4424078,-34.00779,43.9049,-13.27401,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.5705829,-34.00813,43.90526,-13.27538,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7034029,-34.00814,43.90538,-13.27519,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.851059,-34.00795,43.90538,-13.27526,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9835162,-34.00817,43.9054,-13.27559,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.194067,-34.00837,43.90531,-13.27532,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.332947,-34.00842,43.90541,-13.27572,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.465551,-34.00827,43.90552,-13.27552,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.640367,-34.00824,43.90541,-13.27571,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.801714,-34.00814,43.90541,-13.27537,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.972352,-34.00816,43.90533,-13.27539,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,
