PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.02,-33.73551,43.85614,-13.42514,-35.16,43.152,-14.71,-35.16,43.152,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.595697,-34.90416,44.66983,-13.78322,-34.29445,44.04675,-13.14726,-34.65951,44.27454,-13.63335,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9050473,-34.88282,44.67588,-13.75127,-34.29427,44.04526,-13.14357,-34.6982,43.97204,-13.4155,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.022672,-34.88999,44.67752,-13.73228,-34.31211,44.04481,-13.14058,-34.75009,43.98518,-13.40969,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.139969,-34.95602,44.67814,-13.71899,-34.38559,44.04416,-13.12928,-34.83555,43.9908,-13.39767,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.2577,-35.09948,44.67804,-13.68682,-34.53187,44.04354,-13.09216,-34.98003,43.99004,-13.36026,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.387981,-35.30121,44.67838,-13.5506,-34.73116,44.04301,-12.94807,-35.16985,43.98874,-13.21841,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.515445,-35.40162,44.67788,-13.32241,-34.83044,44.04247,-12.71451,-35.25887,43.98841,-12.98701,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.632574,-35.40894,44.67754,-13.08999,-34.83739,44.04184,-12.47879,-35.25717,43.98616,-12.75296,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.751222,-35.35798,44.67727,-12.85589,-34.78675,44.04161,-12.24592,-35.20536,43.98397,-12.51962,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.883567,-35.22846,44.67685,-12.62795,-34.65788,44.04102,-12.02145,-35.07525,43.98706,-12.29808,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.99852,-35.086,44.677,-12.43498,-34.5167,44.04076,-11.82987,-34.93309,43.98627,-12.10628,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.122804,-34.90249,44.67557,-12.26265,-34.33469,44.04065,-11.66062,-34.74702,43.98554,-11.93597,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.249575,-34.68598,44.6755,-12.1282,-34.11896,44.04067,-11.52859,-34.52766,43.98599,-11.80545,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.368896,-34.46636,44.67418,-12.03528,-33.89926,44.04039,-11.43782,-34.30519,43.98684,-11.71528,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.49577,-34.22579,44.67345,-11.96518,-33.65761,44.04021,-11.36775,-34.06131,43.9893,-11.64655,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.62301,-33.98066,44.67265,-11.91292,-33.41144,44.04011,-11.31595,-33.81614,43.98801,-11.59509,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.745733,-33.86953,44.67184,-11.89988,-33.29954,44.04012,-11.30346,-33.70226,43.98678,-11.58256,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.868167,-33.86983,44.67131,-11.89919,-33.29943,44.04003,-11.30308,-33.69769,43.9857,-11.58387,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.996088,-33.86956,44.67126,-11.89853,-33.29962,44.03993,-11.30342,-33.69225,43.98434,-11.5848,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.110353,-33.86884,44.67049,-11.89816,-33.29961,44.0402,-11.30289,-33.69817,43.9892,-11.58588,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.227282,-33.86141,44.67,-11.89479,-33.29256,44.04008,-11.30129,-33.69064,43.99166,-11.58572,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.347651,-33.85759,44.66942,-11.89138,-33.28879,44.04005,-11.29951,-33.69012,43.99179,-11.58267,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.472913,-33.88644,44.6699,-11.89558,-33.31781,44.04004,-11.3033,-33.72868,43.99942,-11.58587,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.60123,-33.86649,44.67022,-11.84924,-33.29824,44.04001,-11.25653,-33.72172,44.01966,-11.54736,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.725256,-33.77541,44.67048,-11.77486,-33.20775,44.04039,-11.18007,-33.67008,44.06055,-11.48783,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.84239,-33.72804,44.67025,-11.74791,-33.16129,44.04054,-11.15314,-33.68358,44.10606,-11.46937,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.964596,-33.72787,44.67127,-11.74796,-33.16104,44.04073,-11.15294,-33.70555,44.12832,-11.46824,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.083802,-33.72742,44.67201,-11.74657,-33.16135,44.0408,-11.15368,-33.7122,44.13368,-11.464,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.206233,-33.72352,44.67272,-11.74677,-33.16135,44.04106,-11.15398,-33.71775,44.13395,-11.4594,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.324089,-33.71658,44.67681,-11.74559,-33.16029,44.04112,-11.15367,-33.72448,44.12793,-11.4517,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.45319,-33.70195,44.68603,-11.73806,-33.15296,44.04129,-11.14937,-33.72165,44.11813,-11.44087,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.574925,-33.68334,44.69243,-11.7282,-33.15329,44.04125,-11.15,-33.72374,44.11548,-11.43961,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.701374,-33.64934,44.69985,-11.71526,-33.1532,44.04121,-11.14821,-33.72609,44.1128,-11.43638,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.831406,-33.58831,44.70547,-11.66909,-33.13588,44.04115,-11.11817,-33.70155,44.1111,-11.40534,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.975916,-33.46338,44.71164,-11.68234,-33.05291,44.04115,-11.13867,-33.60468,44.10766,-11.42641,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.108479,-33.38819,44.71484,-11.83619,-32.9857,44.0411,-11.29334,-33.5277,44.10617,-11.58177,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.24436,-33.3522,44.71513,-12.07428,-32.94874,44.04109,-11.52633,-33.48886,44.1063,-11.81529,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.380402,-33.36831,44.71477,-12.34975,-32.95277,44.04145,-11.80128,-33.4899,44.10698,-12.09201,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.507316,-33.37642,44.7138,-12.61287,-32.95291,44.04134,-12.06531,-33.48575,44.10358,-12.36026,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.626238,-33.3232,44.71208,-12.8348,-32.89162,44.0414,-12.29133,-33.42318,44.0995,-12.58962,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.746653,-33.18468,44.71043,-13.02448,-32.749,44.04129,-12.4847,-33.2789,44.09885,-12.78585,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.870299,-32.99273,44.70839,-13.15891,-32.55571,44.04125,-12.62157,-33.08487,44.09868,-12.92827,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.004575,-32.732,44.70753,-13.20401,-32.29528,44.04127,-12.66745,-32.82268,44.09872,-12.97656,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.136607,-32.46568,44.70725,-13.19799,-32.03098,44.04109,-12.66267,-32.55881,44.0984,-12.97183,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.271811,-32.19794,44.70646,-13.1426,-31.76481,44.04135,-12.60799,-32.29505,44.09968,-12.91784,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.405252,-31.94719,44.70597,-13.04661,-31.51423,44.04118,-12.51266,-32.05119,44.10197,-12.82187,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.524443,-31.73346,44.7056,-12.91374,-31.30124,44.04127,-12.38157,-31.84468,44.10446,-12.68972,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.652881,-31.54348,44.70536,-12.76215,-31.11032,44.04129,-12.23023,-31.65887,44.10661,-12.53821,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.783008,-31.36465,44.70535,-12.56415,-30.92983,44.04113,-12.03218,-31.48388,44.10913,-12.33949,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.910557,-31.16906,44.70471,-12.40532,-30.73318,44.04121,-11.87398,-31.28909,44.10969,-12.18131,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.04367,-30.91883,44.70356,-12.37116,-30.48131,44.04122,-11.84114,-31.04197,44.1109,-12.14771,
