PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.333471,0.02,0,33.72364,43.83839,-13.35947,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.963474,0.4616838,1.397239,34.52133,44.95021,-13.61604,-35.16,43.14921,-14.71,-34.19805,44.05861,-13.17152,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.597957,0.8087972,1.861037,34.48056,44.75973,-13.19776,-35.16,43.14921,-14.71,-34.1978,44.05816,-13.17079,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.592216,0.9426164,1.877019,34.4862,44.75017,-13.18648,-35.16,43.14921,-14.71,-34.19763,44.05749,-13.16821,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.594913,1.080391,1.882324,34.49005,44.74753,-13.187,-35.16,43.14921,-14.71,-34.20819,44.05726,-13.15793,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.602028,1.207831,1.889853,34.49309,44.74865,-13.1936,-35.16,43.14921,-14.71,-34.20785,44.05592,-13.15576,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.614895,1.341234,1.905185,34.49619,44.7546,-13.20728,-35.16,43.14921,-14.71,-34.2126,44.06421,-13.15458,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.6317,1.466606,1.92931,34.4959,44.76629,-13.22833,-35.16,43.14921,-14.71,-34.21801,44.09954,-13.16874,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.655957,1.597813,1.969828,34.4896,44.78634,-13.26297,-35.16,43.14921,-14.71,-34.22194,44.13476,-13.1795,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.701912,1.734062,2.043647,34.48019,44.82287,-13.3264,-35.16,43.14921,-14.71,-34.22718,44.20678,-13.23748,,,,,,,-28.721,44.641,-5.5209
