PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.391203,0.02,0,-33.74809,43.85744,-13.41451,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.391234,0.4729672,0.003197043,-33.74776,43.85443,-13.41446,-34.32227,44.0509,-13.1223,-34.18521,44.04272,-13.12941,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.391348,0.8345615,0.003648518,-33.74799,43.85456,-13.41446,-34.32215,44.05088,-13.12208,-34.1852,44.04287,-13.12957,,,,,,,-28.721,44.641,-5.5209
Walk,Complexity,Walk,4,Task4,0,0.35,0.35,16.20125,1.015506,0.0627077,-33.74784,43.91337,-13.41438,-34.32216,44.10983,-13.12237,-34.18518,44.10183,-13.13025,,,,,,,-23.471,31.951,-9.703745
Walk,Plateau,Walk,5,Task5,0.5036428,0.7,0.1963572,26.04237,1.16863,0.1803312,-33.74791,43.91331,-13.41434,-34.32216,44.10993,-13.12273,-34.18525,44.10198,-13.13056,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,6,Task5,0.5036428,0.7,0.1963572,26.00734,1.311683,0.2393937,-33.74805,43.85458,-13.41445,-34.32237,44.05125,-13.12308,-34.18528,44.04285,-13.12965,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,7,Task5,0.5036428,0.7,0.1963572,26.00723,1.477606,0.3574113,-33.74793,43.85455,-13.41447,-34.3223,44.05142,-13.12359,-34.18519,44.04284,-13.12951,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,8,Task5,0.5036428,0.7,0.1963572,26.00717,1.639491,0.475262,-33.74799,43.85435,-13.41432,-34.32244,44.05153,-13.12402,-34.18522,44.04282,-13.12997,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,9,Task5,0.5036428,0.7,0.1963572,26.00721,1.810263,0.5933585,-33.7479,43.85453,-13.41432,-34.32227,44.05162,-13.12414,-34.18509,44.04301,-13.13002,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,26.00735,1.983057,0.7113342,-33.74807,43.85459,-13.41452,-34.32246,44.0516,-13.12404,-34.18534,44.04308,-13.13035,,,,,,,-13.049,28.321,-15.9911
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.391374,2.13791,0.8294575,-33.74791,43.85449,-13.41454,-34.32225,44.05143,-13.12306,-34.18519,44.04305,-13.12972,,,,,,,-28.721,44.641,-5.5209
Teleport,Complexity,Teleport,1,Task1,0,0.7,0.7,15.17017,2.319321,0.8889324,-33.74777,43.91347,-13.4145,-34.32202,44.10993,-13.12284,-34.18495,44.10178,-13.12979,,,,,,,-18.831,44.641,-10.7509
Teleport,Complexity,Teleport,2,Task2,0.5036428,0.4,0.1036428,20.52304,2.507454,0.8895409,-33.74814,43.91345,-13.41434,-34.32229,44.10964,-13.12251,-34.18541,44.10178,-13.13035,,,,,,,-14.911,44.641,-5.3009
Teleport,Complexity,Teleport,3,Task3,0.5036428,0.9,0.3963572,21.80489,2.662612,0.8904494,-33.74814,43.91347,-13.41449,-34.32225,44.10948,-13.12158,-34.18539,44.10188,-13.13036,,,,,,,-13.658,40.852,-5.5109
Teleport,Complexity,Teleport,4,Task4,0.5036428,0.35,0.1536428,16.20131,2.816542,0.8911185,-33.74796,43.91335,-13.41438,-34.32212,44.10931,-13.1219,-34.18539,44.10202,-13.13113,,,,,,,-23.471,31.951,-9.703745
Teleport,Plateau,Teleport,5,Task5,0.5036428,0.7,0.1963572,26.04267,2.975969,0.8916423,-33.74822,43.91342,-13.41445,-34.32219,44.10941,-13.12165,-34.18544,44.10194,-13.13087,,,,,,,-13.049,28.321,-15.9911
Teleport,Plateau,Teleport,6,Task5,0.5036428,0.7,0.1963572,26.04228,3.119203,0.8923616,-33.74784,43.91329,-13.41446,-34.32198,44.10943,-13.12163,-34.18512,44.10176,-13.13051,,,,,,,-13.049,28.321,-15.9911
Teleport,Plateau,Teleport,7,Task5,0.5036428,0.7,0.1963572,26.04217,3.273992,0.8932681,-33.74762,43.91335,-13.41422,-34.32197,44.10971,-13.12211,-34.18505,44.10178,-13.1299,,,,,,,-13.049,28.321,-15.9911
