elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
0.02,-35.56803,45.0579,-13.34893,-35.16,45.017,-14.71,-35.16,44.186,-14.71
0.4786803,-35.55806,44.02435,-13.34937,-35.76339,44.03471,-13.39593,-35.16,43.1492,-14.71
0.8466962,-35.15642,45.02586,-13.7622,-35.7559,44.03725,-13.41139,-35.16,43.1492,-14.71
0.9733006,-35.02242,45.07799,-13.93449,-35.75288,44.03811,-13.41749,-35.16,43.1492,-14.71
1.096121,-35.02528,45.03689,-14.05058,-35.75027,44.03889,-13.42356,-35.16,43.1492,-14.71
1.221025,-35.11837,45.01744,-14.0733,-35.74715,44.04002,-13.42999,-35.16,43.1492,-14.71
1.337246,-35.21919,45.00004,-14.04868,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
1.450776,-35.29676,44.96667,-14.03413,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
1.568911,-35.33602,44.90779,-14.00827,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
1.70279,-35.36942,44.88157,-13.96081,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
1.821906,-35.40524,44.86673,-13.8938,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
1.944467,-35.45192,44.85256,-13.81195,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.081337,-35.50869,44.81385,-13.72369,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.20365,-35.56061,44.79427,-13.66534,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.320651,-35.60318,44.77192,-13.63626,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.441886,-35.63589,44.74091,-13.6091,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.563105,-35.6605,44.72208,-13.58683,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.683836,-35.67059,44.71763,-13.57536,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.812927,-35.67394,44.7191,-13.57276,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
2.945359,-35.67161,44.72141,-13.57699,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
3.064927,-35.66374,44.72809,-13.58876,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
3.196148,-35.6474,44.74772,-13.61292,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
3.326487,-35.62194,44.77778,-13.64848,-35.16,43.1492,-14.71,-35.16,43.1492,-14.71
3.457637,-35.57753,44.81723,-13.70961,-35.80128,44.4508,-13.62253,-35.64418,44.37626,-13.34364
3.583294,-35.51799,44.85033,-13.78533,-35.72118,44.57278,-13.77748,-35.64526,44.47747,-13.49721
3.707606,-35.44554,44.86512,-13.87576,-35.68903,44.62506,-13.93363,-35.6501,44.52776,-13.65738
3.826806,-35.3625,44.86655,-13.9818,-35.63554,44.64251,-14.08265,-35.64141,44.54661,-13.85025
3.942466,-35.28364,44.86793,-14.08587,-35.55404,44.61806,-14.2507,-35.58447,44.54648,-14.03485
4.062751,-35.20734,44.87594,-14.18975,-35.45859,44.58557,-14.38985,-35.50932,44.5351,-14.18467
4.186115,-35.14888,44.88108,-14.25953,-35.37631,44.56861,-14.50709,-35.44757,44.52414,-14.30127
4.302261,-35.1141,44.88529,-14.30074,-35.30214,44.56269,-14.57768,-35.40531,44.52702,-14.37239
4.418074,-35.09996,44.88509,-14.32736,-35.26054,44.55888,-14.62061,-35.3755,44.51929,-14.4168
4.539353,-35.10237,44.88217,-14.35295,-35.24401,44.55311,-14.65309,-35.36552,44.50334,-14.44795
4.663567,-35.12092,44.87849,-14.37911,-35.25108,44.54616,-14.67978,-35.37834,44.49156,-14.47234
4.789909,-35.15248,44.87047,-14.40673,-35.27161,44.54445,-14.70535,-35.41058,44.48132,-14.4959
