PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90502,Far,-28.721,44.641,-5.5209,0.02,0,-36.02666,44.93082,-14.91626,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.93062,Far,-28.721,44.641,-5.5209,0.4212984,0.02903964,-36.04379,44.93375,-14.93529,-36.06171,44.04935,-14.76102,-35.93974,44.04804,-15.04952,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.93211,Far,-28.721,44.641,-5.5209,0.8318757,0.04101186,-36.04189,44.9365,-14.93857,-36.04827,44.05044,-14.76128,-35.93346,44.04668,-15.04871,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.92992,Far,-28.721,44.641,-5.5209,0.9745839,0.04583679,-36.04381,44.93573,-14.93432,-36.0484,44.05035,-14.75966,-35.93156,44.04554,-15.04714,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.92675,Far,-28.721,44.641,-5.5209,1.148146,0.05628298,-36.04967,44.93488,-14.92577,-36.05027,44.0525,-14.7557,-35.92984,44.04478,-15.04409,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.9246,Far,-28.721,44.641,-5.5209,1.294277,0.0712638,-36.05978,44.93738,-14.91508,-36.06042,44.05364,-14.75268,-35.92948,44.04432,-15.03913,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90147,Far,-28.721,44.641,-5.5209,1.423933,0.217052,-35.93839,44.93868,-14.97953,-35.94752,44.05424,-14.81746,-35.8032,44.04317,-15.10012,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.82803,Far,-28.721,44.641,-5.5209,1.558461,0.5058317,-35.67065,44.93682,-15.08736,-35.69539,44.05446,-14.92635,-35.53394,44.04306,-15.20235,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.71867,Far,-28.721,44.641,-5.5209,1.696788,0.8284936,-35.35987,44.93408,-15.17319,-35.40878,44.0543,-15.01653,-35.23069,44.04121,-15.28464,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.51885,Far,-28.721,44.641,-5.5209,1.864735,1.232214,-35.5298,44.92902,-14.80752,-35.62497,44.05453,-14.65606,-35.42627,44.03232,-14.9125,0,0,0
