userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86737,Far,-28.661,44.641,-5.3419,3.631163,0.563303,-34.71289,44.29921,-15.54446,-34.60139,43.96978,-15.72247,-34.57865,43.97009,-15.84304,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86159,Far,-28.661,44.641,-5.3419,3.784544,0.563303,-34.70564,44.29869,-15.54202,-34.59487,43.97285,-15.72515,-34.57357,43.97216,-15.84949,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85766,Far,-28.661,44.641,-5.3419,3.954257,0.563303,-34.69882,44.29568,-15.54139,-34.55394,43.96507,-15.72552,-34.5829,43.98551,-15.8709,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85505,Far,-28.661,44.641,-5.3419,4.119422,0.563303,-34.69387,44.28701,-15.54099,-34.48621,43.92236,-15.75233,-34.60879,44.00948,-15.90294,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85244,Far,-28.661,44.641,-5.3419,4.268358,0.563303,-34.6888,44.27972,-15.54069,-34.44469,43.89817,-15.77691,-34.61485,44.01801,-15.91764,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.8517,Far,-28.661,44.641,-5.3419,4.421846,0.563303,-34.6831,44.27753,-15.54313,-34.45527,43.89717,-15.79062,-34.61846,43.99116,-15.92534,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85569,Far,-28.661,44.641,-5.3419,4.570492,0.563303,-34.67867,44.28036,-15.55047,-34.49318,43.90882,-15.80223,-34.61016,43.9674,-15.92314,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85971,Far,-28.661,44.641,-5.3419,4.721868,0.563303,-34.67421,44.28014,-15.55776,-34.52007,43.92841,-15.80463,-34.58275,43.96007,-15.91661,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86126,Far,-28.661,44.641,-5.3419,4.881457,0.563303,-34.66797,44.27805,-15.56316,-34.5329,43.9331,-15.816,-34.58991,43.97067,-15.9145,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86331,Far,-28.661,44.641,-5.3419,5.013073,0.563303,-34.66453,44.27774,-15.56755,-34.53742,43.93112,-15.82014,-34.6011,43.97033,-15.91772,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86601,Far,-28.661,44.641,-5.3419,5.156484,0.563303,-34.66441,44.2775,-15.57074,-34.53191,43.92986,-15.8137,-34.59557,43.9702,-15.90907,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86825,Far,-28.661,44.641,-5.3419,5.302099,0.563303,-34.66463,44.27719,-15.57319,-34.53485,43.91685,-15.80288,-34.57571,43.9693,-15.8788,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86858,Far,-28.661,44.641,-5.3419,5.440788,0.563303,-34.66479,44.27755,-15.57349,-34.54984,43.90403,-15.78382,-34.58277,43.94633,-15.86795,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86713,Far,-28.661,44.641,-5.3419,5.577271,0.563303,-34.66451,44.27513,-15.5719,-34.55473,43.89882,-15.764,-34.57153,43.93813,-15.8497,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86024,Far,-28.661,44.641,-5.3419,5.728576,0.563303,-34.6643,44.2716,-15.5639,-34.55099,43.89627,-15.74188,-34.55372,43.93563,-15.82353,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.78986,Far,-28.661,44.641,-5.3419,5.903604,0.8254309,-34.41187,44.26869,-15.6273,-34.28579,43.90226,-15.78767,-34.28235,43.93905,-15.87856,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.69263,Far,-28.661,44.641,-5.3419,6.058686,1.195407,-34.0525,44.26701,-15.71058,-33.92103,43.9095,-15.86925,-33.91476,43.94512,-15.96128,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.57891,Far,-28.661,44.641,-5.3419,6.21862,1.576673,-33.67746,44.2676,-15.77104,-33.54509,43.90992,-15.93096,-33.541,43.9468,-16.02325,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.4149,Far,-28.661,44.641,-5.3419,6.386533,1.970571,-33.28137,44.26625,-15.77319,-33.14853,43.90793,-15.93182,-33.14805,43.94179,-16.02944,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.39198,Far,-28.661,44.641,-5.3419,6.543533,2.037565,-33.21383,44.26333,-15.77772,-33.07986,43.90806,-15.93144,-33.08036,43.94172,-16.02971,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.24305,Far,-28.661,44.641,-5.3419,6.708131,2.427728,-32.82306,44.26109,-15.77929,-32.69086,43.90786,-15.93248,-32.69612,43.93883,-16.03367,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.10925,Far,-28.661,44.641,-5.3419,6.85562,2.795617,-32.45466,44.26075,-15.77641,-32.32536,43.90592,-15.93514,-32.33362,43.93544,-16.03796,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.98572,Far,-28.661,44.641,-5.3419,7.006131,3.158075,-32.08968,44.25909,-15.77187,-31.96615,43.90531,-15.93912,-31.97341,43.93538,-16.04032,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.89179,Far,-28.661,44.641,-5.3419,7.133993,3.508153,-31.73778,44.25787,-15.78306,-31.61762,43.90628,-15.95424,-31.6272,43.9362,-16.05588,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.81052,Far,-28.661,44.641,-5.3419,7.26913,3.805252,-31.43864,44.25766,-15.78245,-31.32068,43.90542,-15.95523,-31.33069,43.93546,-16.05616,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.70879,Far,-28.661,44.641,-5.3419,7.40432,4.145624,-31.09396,44.25724,-15.76359,-30.98178,43.90459,-15.9391,-30.99104,43.93586,-16.03843,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.57918,Far,-28.661,44.641,-5.3419,7.560302,4.493219,-30.74567,44.2569,-15.70654,-30.63786,43.90356,-15.88565,-30.64535,43.93638,-15.98285,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.4162,Far,-28.661,44.641,-5.3419,7.721358,4.841311,-30.40558,44.25716,-15.60379,-30.30217,43.90356,-15.78834,-30.30514,43.93915,-15.88131,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.1781,Far,-28.661,44.641,-5.3419,7.886264,5.212757,-30.08704,44.25749,-15.41231,-29.98326,43.90331,-15.5994,-29.98615,43.93914,-15.69174,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.881402,Far,-28.661,44.641,-5.3419,8.050242,5.593768,-29.81074,44.25688,-15.14867,-29.70891,43.9031,-15.33661,-29.7104,43.94004,-15.4273,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.721956,Far,-28.661,44.641,-5.3419,8.195093,5.910751,-29.53201,44.25579,-15.01709,-29.43117,43.90291,-15.20452,-29.43216,43.94065,-15.29373,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.695733,Far,-28.661,44.641,-5.3419,8.349533,6.265527,-29.17934,44.256,-15.01611,-29.07761,43.9032,-15.20336,-29.07842,43.94102,-15.29168,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.656218,Far,-28.661,44.641,-5.3419,8.51932,6.662869,-28.78622,44.25488,-14.98958,-28.68478,43.90329,-15.17555,-28.68567,43.94056,-15.26375,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.524801,Far,-28.661,44.641,-5.3419,8.672889,7.007078,-28.47055,44.25401,-14.85693,-28.36971,43.90352,-15.04188,-28.37172,43.9401,-15.13101,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.374369,Far,-28.661,44.641,-5.3419,8.830733,7.344893,-28.17416,44.25377,-14.69561,-28.07522,43.90364,-14.88175,-28.07912,43.94007,-14.97147,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.304522,Far,-28.661,44.641,-5.3419,8.984812,7.698339,-27.83209,44.25245,-14.60128,-27.73814,43.90224,-14.79168,-27.74302,43.94106,-14.87863,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.308246,Far,-28.661,44.641,-5.3419,9.138264,8.054948,-27.47079,44.25164,-14.56552,-27.38225,43.90961,-14.76008,-27.38798,43.94971,-14.84541,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.327966,Far,-28.661,44.641,-5.3419,9.290694,8.400206,-27.12013,44.25195,-14.53349,-27.03511,43.91986,-14.73108,-27.04512,43.95995,-14.81836,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.357747,Far,-28.661,44.641,-5.3419,9.459257,8.764436,-26.75351,44.25309,-14.49496,-26.66838,43.93405,-14.69415,-26.68424,43.9732,-14.78448,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.370225,Far,-28.661,44.641,-5.3419,9.624649,8.906786,-26.60998,44.25347,-14.47668,-26.52732,43.95214,-14.68196,-26.54369,43.98447,-14.77498,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.371949,Far,-28.661,44.641,-5.3419,9.78583,8.906786,-26.60977,44.25537,-14.47848,-26.52858,43.97614,-14.69206,-26.55869,44.00438,-14.79198,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.374587,Far,-28.661,44.641,-5.3419,9.9341,8.906786,-26.60926,44.25735,-14.48116,-26.53225,43.99472,-14.70008,-26.5732,44.01727,-14.80451,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.376335,Far,-28.661,44.641,-5.3419,10.1021,8.90679,-26.6084,44.2657,-14.48311,-26.52738,43.99749,-14.71197,-26.58555,44.02891,-14.81376,0,0,0
