PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.454922,0.02,0,-33.71954,43.86626,-13.50901,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.45609,0.504323,0.003935306,-33.72051,43.86306,-13.50948,-35.16,43.14921,-14.71,-34.36117,44.05969,-13.16392,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.456306,0.9415595,0.004491001,-33.72074,43.86303,-13.50959,-35.16,43.14921,-14.71,-34.36105,44.0601,-13.16467,,,,,,,-28.721,44.641,-5.5209
Walk,Complexity,Walk,2,Task2,0,0.4,0.4,20.53752,1.171422,0.005417704,-33.72066,43.86311,-13.5095,-35.16,43.14921,-14.71,-34.36125,44.05992,-13.16402,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,4,Task4,0,0.35,0.35,16.16884,1.388033,0.00589543,-33.72048,43.86306,-13.5093,-35.16,43.14921,-14.71,-34.36087,44.05976,-13.16371,,,,,,,-23.471,31.951,-9.703745
Walk,Plateau,Walk,5,Task5,0,0.7,0.7,25.98152,1.570345,0.006407026,-33.72079,43.86312,-13.50938,-35.16,43.14921,-14.71,-34.36103,44.05976,-13.16381,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,6,Task5,0.5036428,0.7,0.1963572,26.01639,1.757775,0.06580099,-33.72039,43.92186,-13.50932,-35.16,43.208,-14.71,-34.36075,44.11851,-13.16354,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,7,Task5,0.5036428,0.7,0.1963572,26.01634,1.922366,0.183667,-33.72038,43.92183,-13.50952,-35.16,43.208,-14.71,-34.3608,44.11872,-13.16413,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,8,Task5,0.5036428,0.7,0.1963572,26.01672,2.082683,0.3012606,-33.72087,43.92179,-13.50943,-35.16,43.208,-14.71,-34.36131,44.11861,-13.16433,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,9,Task5,0.5036428,0.7,0.1963572,26.0165,2.252494,0.4191799,-33.72043,43.922,-13.50935,-35.16,43.208,-14.71,-34.36103,44.11861,-13.16355,,,,,,,-13.049,28.321,-15.9911
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,26.01646,2.444294,0.5371065,-33.72038,43.92203,-13.50951,-35.16,43.208,-14.71,-34.36111,44.11875,-13.16439,,,,,,,-13.049,28.321,-15.9911
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.45127,2.625987,0.6549454,-33.72039,43.922,-13.50937,-35.16,43.208,-14.71,-34.36113,44.11877,-13.16439,,,,,,,-28.721,44.641,-5.5209
