userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.36385,Far,-28.661,44.641,-5.3419,0.02,0,-35.53315,43.53405,-16.74983,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.75907,Far,-28.661,44.641,-5.3419,0.4751548,0,-34.99,43.78452,-16.38745,-35.33384,43.69123,-16.78726,-35.41353,43.58601,-16.78446,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.62793,Far,-28.661,44.641,-5.3419,0.7786081,0,-34.86544,44.30968,-16.33553,-35.18933,43.93523,-16.42238,-35.2379,43.88311,-16.51254,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.07919,Far,-28.661,44.641,-5.3419,0.9239237,0.5817375,-34.92101,44.44601,-15.67056,-35.08367,43.98024,-15.69256,-35.07848,43.93437,-15.80447,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.00185,Far,-28.661,44.641,-5.3419,1.073802,0.5817375,-34.98793,44.45055,-15.53887,-34.99389,43.95736,-15.56749,-34.93586,43.91138,-15.67103,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.9534,Far,-28.661,44.641,-5.3419,1.203417,0.5817375,-35.0048,44.41066,-15.47042,-34.94587,43.93522,-15.53703,-34.8783,43.88507,-15.62488,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90881,Far,-28.661,44.641,-5.3419,1.345175,0.5817375,-34.98835,44.36121,-15.42685,-34.92614,43.90765,-15.53381,-34.85747,43.86555,-15.62852,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.87107,Far,-28.661,44.641,-5.3419,1.507359,0.5817375,-34.95033,44.32544,-15.40506,-34.94222,43.89876,-15.6039,-34.87091,43.8455,-15.68893,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85058,Far,-28.661,44.641,-5.3419,1.663369,0.5817375,-34.92958,44.32138,-15.39372,-34.96558,43.88623,-15.6743,-34.9041,43.84455,-15.77243,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.84019,Far,-28.661,44.641,-5.3419,1.801412,0.5817413,-34.89068,44.30554,-15.40513,-34.98204,43.90287,-15.72317,-34.92282,43.86198,-15.82053,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.84544,Far,-28.661,44.641,-5.3419,1.953216,0.5817413,-34.82901,44.28954,-15.44866,-35.00977,43.92299,-15.75186,-34.93543,43.87046,-15.82193,0,0,0
