userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66171,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.54416,43.47553,-16.72486,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7251,206.0049,6.179231,-24.275,-153.995,6.179,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66139,Far,-28.057,44.482,-5.3419,0.4583081,0,0.0006455686,-35.54439,43.47585,-16.72435,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.6944,206.0195,6.175592,-24.306,-153.981,6.176,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66162,Far,-28.057,44.482,-5.3419,0.5868118,0,0.001479763,-35.5444,43.47589,-16.72463,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7309,206.0203,6.185302,-24.269,-153.98,6.185,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66133,Far,-28.057,44.482,-5.3419,0.7079672,0,0.002242959,-35.54435,43.47591,-16.72432,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7138,206.0234,6.184347,-24.286,-153.977,6.184,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66126,Far,-28.057,44.482,-5.3419,0.8284279,0,0.002693105,-35.54436,43.476,-16.72423,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.725,206.0102,6.190325,-24.275,-153.99,6.19,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66106,Far,-28.057,44.482,-5.3419,0.9553789,0,0.003372075,-35.54446,43.47601,-16.72392,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7092,206.0218,6.180897,-24.291,-153.978,6.181,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66124,Far,-28.057,44.482,-5.3419,1.096193,0,0.00445178,-35.5445,43.47601,-16.72411,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.717,206.0222,6.191989,-24.283,-153.978,6.192,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66137,Far,-28.057,44.482,-5.3419,1.230963,0,0.005072528,-35.54439,43.47599,-16.72434,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7267,205.9944,6.192098,-24.273,-154.006,6.192,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66124,Far,-28.057,44.482,-5.3419,1.364322,0,0.005890281,-35.54438,43.47583,-16.72417,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7219,206.0076,6.191463,-24.278,-153.992,6.191,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66159,Far,-28.057,44.482,-5.3419,1.498916,0,0.006816353,-35.5442,43.47567,-16.7247,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7299,206.0232,6.182343,-24.27,-153.977,6.182,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66187,Far,-28.057,44.482,-5.3419,1.61897,0,0.007487625,-35.54406,43.47544,-16.7251,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7361,206.0002,6.202738,-24.264,-154,6.203,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66189,Far,-28.057,44.482,-5.3419,1.736747,0,0.008145091,-35.54398,43.47529,-16.72517,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7221,206.0095,6.196096,-24.278,-153.99,6.196,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Control,Trial1,Walk,Tutorial,Walk,0,Task0,13.66228,Far,-28.057,44.482,-5.3419,1.858635,0,0.008912347,-35.54383,43.47522,-16.72573,-35.16,43.152,-14.71,-35.16,43.152,-14.71,335.7416,206.0046,6.199036,-24.258,-153.995,6.199,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
